Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,4,0.0684,40.4
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,4,0.1052,65.6
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,4,0.1264,82.4
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,4,0.2092,140.8
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,4,0.2628,178.8
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,2,0.2102,138.4
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1064,2,0.2128,116.8
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,133042,2.50 - 15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.7,0.1149,2,0.2298,131.4
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1711,2,0.3422,212.8
7/2/2024,ITA-GGI,129,ITA-GGI - ORDER 01 ,945,136052,28x12-1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,2,0.273,153.2
