Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
25.07.2024,STORCK,0,STORCK ORDER,1,125041,7.00 - 12 (5.00) ATIRE RUNNER SOLID  BLACK STD,RUNNER SOLID,BLACK,STD,5,3 LAYER,47.3,,50,,"2,365.00"
25.07.2024,STORCK,0,STORCK ORDER,1,156011,12.00 - 20 (8.50)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,8.5,3 LAYER,206.7,,10,,2067
25.07.2024,STORCK,0,STORCK ORDER,1,104012,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK CLIP,ACHE +,BLACK,CLIP,4.33,3 LAYER,21.1,,200,,4220
25.07.2024,STORCK,0,STORCK ORDER,1,104011,18 x 7 - 8 (4.33)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,4.33,3 LAYER,21,,150,,3150
25.07.2024,STORCK,0,STORCK ORDER,1,110012,140/55 x 9 (4.00)  ACHIEVER PLUS BLACK CLIP,ACHE +,BLACK,CLIP,4,3 LAYER,10.11,,50,,505.5
25.07.2024,STORCK,0,STORCK ORDER,1,135011,8.15 - 15 (28 x 9 - 15) (7.00)  ACHIEVER PLUS BLACK STD,ACHE +,BLACK,STD,7,3 LAYER ,60,,20,,1200
25.07.2024,STORCK,0,STORCK ORDER,1,135051,8.15 - 15 (28 x 9 - 15) (7.00) ATIRE ROCK SOLID  BLACK STD,ROCK SOLID,BLACK,STD,7,3 LAYER,60.6,,10,,606
25.07.2024,STORCK,0,STORCK ORDER,1,104002,18 x 7 - 8 (4.33)  ACHIEVER BLACK CLIP,ACHIEVER,BLACK,CLIP,4.33,3 LAYER ,21.25,,50,,1062.5
25.07.2024,STORCK,0,STORCK ORDER,1,111041,6.00 - 9 (4.00) ATIRE RUNNER SOLID  BLACK STD,RUNNER SOLID,BLACK,STD,4,3 LAYER,27,,50,,1350
25.07.2024,STORCK,0,STORCK ORDER,1,156001,12.00 - 20 (8.50)  ACHIEVER BLACK STD,ACHIEVER,BLACK,STD,8.5,3 LAYER,209.5,,10,,2095
25.07.2024,STORCK,0,STORCK ORDER,1,715071,18 x 7 x 12 1/8 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,3 LAYER,26.3,,20,,526
25.07.2024,STORCK,0,STORCK ORDER,1,711071,16 x 6 x 10 1/2 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,3 LAYER,19.6,,20,,392
25.07.2024,STORCK,0,STORCK ORDER,1,719071,21 x 7 x 15 ATIRE RUNNER BAND BLACK SM,POB,BLACK,SM,0,3 LAYER,35.4,,30,,1062
25.07.2024,STORCK,0,STORCK ORDER,1,719072,21 x 7 x 15 ATIRE RUNNER BAND BLACK TR,POB,BLACK,TR,0,3 LAYER,34.7,,30,,1041
