Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,111011,6.00 - 9 ,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0383,100,3.83,2600
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,119011,6.50 - 10 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,33.7,0.0508,80,4.064,2696
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,125011,7.00 - 12 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,80,5.528,3656
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,152011,10.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,156.2,0.2622,20,5.244,3124
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,154011,10.00-20 ,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.2622,20,5.244,3148
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,103012,16 x 6 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0257,50,1.285,800
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,50,1.515,1045
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,110012,140/55 x 9 ,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,50,0.895,500
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,112012,21 x 8 - 9 ,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER,33.6,0.0478,20,0.956,672
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,119012,6.50 - 10 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,34.2,0.0508,80,4.064,2736
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,120012,23 x 9 - 10 ,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,44.5,0.0627,50,3.135,2225
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,125012,7.00 - 12 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,90,6.219,4149
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,12,1.2588,782.4
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,136012,28 x 12.5 - 15  ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,18,2.4372,1515.6
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,139012,3.00-15 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1701,14,2.3814,1449
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.8,0.1852,6,1.1112,748.8
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,141012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,58.4,0.0943,10,0.943,584
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,138012,8.25 - 15 ,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1358,17,2.3086,1382.1
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,119013,6.50 - 10 ,ACHIEVER PLUS,NM,STD,5,3 LAYER,32.3,0.0508,11,0.5588,355.3
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,103014,16 x 6 - 8 ,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,15.4,0.0257,10,0.257,154
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,104014,18 x 7 - 8 ,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,10,0.303,204
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,119014,6.50 - 10 ,ACHIEVER PLUS,NM,CLIP,5,3 LAYER,32.9,0.0508,10,0.508,329
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,127041,27 x 10 - 12 ,RUNNERSOLID,BLACK,STD,8,3 LAYER,69,0.1051,10,1.051,690
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,110042,140/55 x 9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,60,1.116,618
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.788,462
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,120042,23 x 9 - 10 ,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,31,2.0367,1385.7
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,127042,27 x 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,12,1.2612,835.2
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,138052,8.25 - 15 ,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,50,6.925,4460
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,16,2.7376,1745.6
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,704071,14 x 4 1/2 x 8 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,6,0.0894,72
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,712071,16 x 7 x 10 1/2 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,32,0.9664,729.6
10.11.2023,UNITED KINGDOM,BULK WO,"UK/RTL- ORDER BULK 39,40,41",10001,714071,18 x 6 x 12 1/8 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,32,1.0496,729.6
