Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,300,5.07,3246
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,104301,18x7-8,NEXEN ALLPRO,BLACK,STD,4.33,APPROVED NEXEN COMPOUND,19.83,0.03,700,21,13881
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,50,2.45,1655
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,119301,6.50-10,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,35.5,0.0529,260,13.75,9230
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,125301,7.00-12,NEXEN ALLPRO,BLACK,STD,5,APPROVED NEXEN COMPOUND,45.6,0.071,140,9.94,6384
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,20,1.6,998
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,60,5.53,3381
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,130,15.11,9323.6
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,138301,8.25-15,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,85.05,0.1315,120,15.78,10206
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,119302,6.50-10,NEXEN ALLPRO,BLACK,CLIP,5,APPROVED NEXEN COMPOUND,35.83,0.0529,10,0.53,358.3
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,25,2.36,1425
19.10.2023,KOREA,FORECAST WO,KOR-NTC-15 ,1001,138302,8.25-15,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,85.5,0.1315,10,1.32,855
