Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,30,0.78,513
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.32,203
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,80,3.12,"2,128.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,50,2.62,"1,740.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,80,5.8,"3,752.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,20,0.37,202
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,10,0.26,164
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,80,2.53,"1,648.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,30,1.18,684
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,10,0.39,269
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,10,0.49,333
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,20,1.05,704
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,10,0.73,475
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,20,2.08,"1,168.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.4,0.1127,20,2.25,"1,308.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,138042,8.25-15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.1,0.1362,8,1.09,680.8
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1682,10,1.68,"1,064.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,10,0.32,204
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,103044,16 X 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.5,0.0263,10,0.26,165
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,50,1.58,"1,030.00"
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,141052,7.00-15,ROCKSOLID,BLACK,CLIP,5.5,3 LAYER,56.2,0.0946,8,0.76,449.6
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,166327,31x10-20 ,SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,62.8,0.1446,5,0.72,314
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,166328,31x10-20 ,SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,62.8,0.1446,5,0.72,314
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,163327,33x12-20 ,SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,88.9,0.1982,5,0.99,444.5
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,163328,33x12-20 ,SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,88.9,0.1982,5,0.99,444.5
11/13/2024,SPAIN,244,SPA-GTI-Order 21,1044,744071,40x20x30,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,290.7,0.5244,8,4.2,"2,325.60"
