Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,48,1.87,"1,276.80"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,28,1.46,974.40
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,28,2.03,"1,313.20"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,101042,15 x 4 1/2 - 8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,30,0.51,303
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,103042,16 x 6 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,30,0.79,492
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.79,456
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,20,1.05,704.00
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,22,1.45,983.4
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,20,1.45,950
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,126042,23x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,10,0.76,471
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.05,692
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.7,0.1127,10,1.13,657
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,138042,8.25-15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.5,0.1362,10,1.36,855
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1682,9,1.51,957.6
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,10,0.32,204
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,101044,15 x 4 1/2 - 8 ,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,40,0.68,412.00
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,50,0.93,510
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,103044,16 x 6 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.5,0.0263,30,0.79,495.00
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,50,1.58,"1,030.00"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,112044,21x8-9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.5,0.0494,10,0.49,335
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,46,1.81,"1,062.60"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,120044,23x9-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,44.8,0.0657,6,0.39,268.80
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,10,0.76,475
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,153051,10.00-20,ROCKSOLID,BLACK,STD,7.5,3 LAYER,168,0.279,8,2.23,"1,344.00"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,155051,12.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,209.3,0.3327,8,2.66,"1,674.40"
03.06.2024,SPAIN,111,SPA-GTI-Order 19,925,134052,250-15,ROCKSOLID,BLACK,CLIP,7.5,3 LAYER,67.5,0.1149,3,0.34,202.5
