Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,152511,10.00-20-WIDE-(CW),FAGA,BLACK,STD,7,2 LAYER ,202,0.246,40,9.84,"8,080.00"
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,156521,12.00-20 -(CW),FAGA,BLACK,STD,8.5,2 LAYER ,259.7,0.3074,48,14.76,"12,465.60"
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,30,1.17,798
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.18,"1,407.00"
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,135051,28x9-15 (8.15-15),ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,10,1.06,593
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,136052,28x12 1/2-15 (355/45-15),ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,10,1.37,766
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,180511,10.00-20,-,BLACK,-,7,-,24,0.03,20,0.6,480
6/24/2024,RUSSIA-GCS,123,RUS-GCS-ORDER 03,939,182521,12.00-20,-,BLACK,-,8.5,-,28.5,0.04,24,0.96,684
