Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/4/2024,USA-RRL,130,RRL ORDER 25,904,708071,16 1/4x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,15.9,0.0223,100,2.23,1590
7/4/2024,USA-RRL,130,RRL ORDER 25,904,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,60,3.12,2082
7/4/2024,USA-RRL,130,RRL ORDER 25,904,720074,21x8x15,RUNNERBAND,NM ,TRACTION,,2 LAYER,40.1,0.0594,36,2.14,1443.6
7/4/2024,USA-RRL,130,RRL ORDER 25,904,166351,31X10-20 Skid Steer Assembly 8 on 8(CW) - LEFT, SKIDSOLID,BLACK,STD,7.5,2 LAYER,110.6,0.1446,24,3.47,2654
7/4/2024,USA-RRL,130,RRL ORDER 25,904,163351,33X12-20 Skid Steer Assembly 8 on 8(CW) LEFT, SKIDSOLID,BLACK,STD,7.5,2 LAYER,136.8,0.1982,76,15.06,10396
7/4/2024,USA-RRL,130,RRL ORDER 25,904,735146,323X100 ,RUNNERLIFT,NMG,TRACTION,-,2 LAYER,9.2,0.0104,24,0.2496,220.8
7/4/2024,USA-RRL,130,RRL ORDER 25,904,736146,406X125 ,RUNNERLIFT,NMG,TRACTION,-,2 LAYER,18.1,0.0206,24,0.4944,434.4
7/4/2024,USA-RRL,130,RRL ORDER 25,904,724146,12X4.5 GE105122,RUNNERLIFT,NMG,TRACTION,-,2 LAYER,14.6,0.0106,36,0.3816,525.6
7/4/2024,USA-RRL,130,RRL ORDER 25,904,725146,15x5 (GE 105454),RUNNERLIFT,NMG,TRACTION,-,2 LAYER,21.7,0.1084,12,1.3008,260.4
7/4/2024,USA-RRL,130,RRL ORDER 25,904,732146,16x5x12 (Front),RUNNERLIFT,NMG,TRACTION,-,2 LAYER,15.6,0.0204,12,0.2448,187.2
7/4/2024,USA-RRL,130,RRL ORDER 25,904,734146,16x5x12 (Rear With Brake),RUNNERLIFT,NMG,TRACTION,-,2 LAYER,15.6,0.0204,12,0.2448,187.2
