Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,152221,10.00-20 (CW),ACHIEVER,BLACK,STD,7,2 LAYER,197.5,0.246,8,1.968,"1,580.00"
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,104011,18 x 7 - 8  180/70-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,2,0.0606,41.60
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,16,0.4208,278.40
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,30,1.149,792.00
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,20,1.016,704.00
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,135011,28 x 9 - 15 (8.15-15),ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,8,0.8192,474.4
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,8,0.5528,365.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,103162,16 x 6 - 8     (150/75-8)(WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0257,10,0.257,166
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,104012,18 x 7 - 8  (180/70-8),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,50,1.515,1045
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,12,0.4656,286.8
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,112162,21 x 8 - 9 (200/75-9) (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,34.8,0.049,6,0.294,208.8
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,26.8,0.0383,2,0.0766,53.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,22,1.1176,778.8
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,120162,23 x 9 - 10 (225/75-10) (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,46.6,0.068,20,1.36,932
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,126012,23 x 10 - 12 (250/60-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,50.7,0.0774,2,0.1548,101.4
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,135012,28 x 9 - 15 (8.15-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,4,0.4096,241.2
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,133012,2.50 - 15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,38,3.9862,2477.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,139162,300 - 15(315/70-15)  (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,109.2,0.1701,18,3.0618,1965.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.2,0.1852,8,1.4816,993.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,136012,28 x 12.5 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,2,0.2708,167.2
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,10,1.358,915
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,10,0.263,171
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,5,0.254,170
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.85,0.0179,8,0.1432,78.8
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,101164,15 x 4.5 - 8 (1.25/75-8 ) (WIDE),ACHIEVER PLUS,NM,CLIP,3,3 LAYER ,9.7,0.0161,8,0.1288,77.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,104014,18 x 7 - 8  180/70-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,30,0.909,612
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,120164,23 x 9 - 10 (225/75-10) (WIDE),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,45.3,0.068,2,0.136,90.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,133014,2.50-15,ACHIEVER PLUS,NM,CLIP,7,3 LAYER ,63.3,0.1049,2,0.2098,126.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,119164,6.50-10 (WIDE),ACHIEVER PLUS,NM,CLIP,5,3 LAYER ,34.5,0.0508,2,0.1016,69
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,10.1,0.0171,16,0.2736,161.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,103042,16 x 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,16.4,0.0263,10,0.263,164
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,104042,18 x 7 - 8 ,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,20.6,0.0316,8,0.2528,164.8
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER ,22.8,0.0394,2,0.0788,45.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,8,0.3952,266.4
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.314,894
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,3,0.3153,207.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER ,10.3,0.0171,14,0.2394,144.2
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER ,10.2,0.0186,18,0.3348,183.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,103044,16 x 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER ,16.5,0.0263,3,0.0789,49.5
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,104044,18 x 7 - 8 ,RUNNERSOLID,NM,CLIP,4.33,3 LAYER ,20.6,0.0316,6,0.1896,123.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER ,23.1,0.0394,4,0.1576,92.4
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,112044,21x8-9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.5,0.0494,4,0.1976,134
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,174051,465/55-20,ROCKSOLID,BLACK,STD,16,3 LAYER,301.6,0.4903,1,0.4903,301.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,2,0.0518,39.2
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,712071,16x7x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,4,0.1208,91.2
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,714071,18x6x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,2,0.0656,45.6
15.07.2024,POLAND,134,POLAND-DIR-Order 11,950,716071,18x8x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,2,0.0874,61.8
