Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,138,7.0104,"4,857.60"
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,104011,18X7-8  ,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,24,0.7272,499.2
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,90,6.219,4113
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,135011,8.15-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,18,1.8432,1067.4
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,139161,300-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,8,1.3608,869.6
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,70,9.506,6342
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,60,4.146,2766
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,112162,21 x 8 - 9 (200/75-9) (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,34.8,0.049,15,0.735,522
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0377,42,1.5834,1125.6
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,90,4.572,3186
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,16,1.6384,964.8
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,127012,27X10-12  ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.132,1468
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,32,3.5296,2160
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,66,11.2266,7207.2
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,136012,28 x 12.5 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,27,3.6558,2257.2
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,100,13.58,9150
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,40,0.716,394
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,104041,18X7-8  ,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,24,0.7584,487.2
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER ,22.8,0.0394,50,1.97,1140
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,24,1.5768,1072.8
16.07.2024,ISRL-KST,135,ISRL-KST- ORDER - BULK (ORDER 45 -47 ,951,135052,8.15-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER ,60.2,0.1064,18,1.9152,1083.6
