Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,60,1.818,"1,584.00"
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,50,2.54,"1,760.00"
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,10,0.943,587
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,4,0.42,258.4
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,0,0,  -   
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,140011,355/65-15,ACHIEVER PLUS,BLACK,STD,9.75,3 LAYER ,123.2,0.1852,4,0.741,492.8
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,0,0,  -   
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.2,0.1852,2,0.37,248.4
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,10,0.263,171
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,20,0.606,406
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,10,0.303,257
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,112163,21x8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,10,0.49,334
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,10,0.508,340
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,133013,2.50 - 15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,6,0.629,376.8
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,6,0.614,349.8
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,2,0.017,15.4
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,16.3,0.0216,5,0.108,81.5
17.07.2024,AUS-TFY,135,AUS/TFY- CONTAINER 32(MELBOURNE) (R),951,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,6,0.391,257.4
