Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,20,0.526,348
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,18,2.444,"1,630.80"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,20,0.526,342
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,20,0.514,316
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,50,1.515,"1,015.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,30,1.524,"1,020.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,112163,21x 8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,50,2.45,"1,670.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,133013,2.50 - 15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,20,2.098,"1,256.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,30,2.073,"1,338.00"
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,6,0.614,349.8
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,139163,3.00-15 (WIDE),ACHIEVER PLUS,NM,STD,8,3 LAYER ,105.9,0.1701,4,0.68,423.6
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,111041,6.00-9 ,RUNNERSOLID,BLACK,STD,4,3 LAYER ,26.6,0.039,7,0.273,186.2
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,136052,28x12-1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,4,0.546,306.4
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,20.8,0.0312,6,0.187,124.8
8/23/2024,AUS-TFY,156,AUS/TFY- CONTAINER 36(SYDNEY) (R),973,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,5,0.191,131.5
