Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,20,0.168,154
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,706071,15x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,20,0.38,266
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,709071,16 1/4x6x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.2,0.0267,10,0.267,192
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,10,0.216,163
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,90,2.331,"1,764.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,100,3.82,"2,630.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,716071,18x8x12 1/8 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,10,0.437,309
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,30,1.56,"1,062.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,30,1.782,"1,224.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,723071,22x9x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,40,2.936,"1,944.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,20,1.958,"1,298.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,718072,21x6x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,28,0.0446,6,0.268,168
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,14,0.728,485.8
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,720072,21x8x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,40,0.0594,14,0.832,560
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,723072,22x9x16,,,,,2 LAYER,47.5,0.0734,4,0.294,190
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,738072,28x12x22,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,81.5,0.1545,4,0.618,326
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,701073,10x5x6 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,8,0.0084,6,0.05,48
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,710073,16x5x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,16.3,0.0216,10,0.216,163
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,711073,16x6x10-1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,19.7,0.0259,40,1.036,788.04
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,715073,18x7x12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,70,2.674,"1,862.00"
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,719073,21x7x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,35.6,0.052,8,0.416,284.8
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,720073,21x8x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.9,0.0594,8,0.475,327.2
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,723073,22x9x16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,49.1,0.0734,20,1.468,982
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,721073,22x12x16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,65.4,0.0979,8,0.783,523.2
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,16,1.16,750.4
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,134051,2.50-15,ROCKSOLID,BLACK,STD,7.5,3 LAYER,67.4,0.1149,4,0.46,269.6
7/19/2024,USA-  ILS,136,USA -  ILS - ORDER 01 ,952,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,6,1.027,644.4
