Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,103161,16X6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,20,0.51,326
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,68,3.45,2393.6
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,12,0.83,548.4
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,139161,300-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,8,1.36,869.6
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,10,1.36,906
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,25,0.45,250
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,112162,21 x 8 - 9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,34.8,0.049,10,0.49,348
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0377,42,1.58,1125.6
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,40,2.03,1416
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,10,1.02,603
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,127012,27X10-12  ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.13,1468
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,12,1.32,810
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,12,2.04,1310.4
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,136012,28 x 12.5 - 15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,20,2.71,1672
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,6,0.81,549
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,40,0.72,394
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,103041,16X6-8 (WIDE),RUNNERSOLID,BLACK,STD,4.33,3 LAYER,16.2,0.0263,20,0.53,324
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER ,22.8,0.0394,80,3.15,1824
16.07.2024,ISRL-KST,139,ISRL-KST- ORDER 46,955,135052,8.15-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER ,60.2,0.1064,10,1.06,602
