Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,103161,16X6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,30,0.77,489
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,62,3.15,2182.4
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,10,0.69,457
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,60,8.15,5436
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,60,3.05,2124
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,40,2.76,1844
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,127012,27X10-12  ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,10,1.07,734
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,6,0.66,405
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,18,3.06,1965.6
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,91.5,0.1358,20,2.72,1830
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,23.6,0.0394,10,0.39,236
16.07.2024,ISRL-KST,140,ISRL-KST- ORDER 47,956,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER ,22.8,0.0394,50,1.97,1140
