Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,20,0.526,348
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,20,0.606,416
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,60,1.818,"1,584.00"
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,50,2.54,"1,760.00"
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,10,0.943,587
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,10,1.701,"1,087.00"
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,140011,355/65-15,ACHIEVER PLUS,BLACK,STD,9.75,3 LAYER ,123.2,0.1852,2,0.37,246.4
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,6,1.224,763.2
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.2,0.1852,4,0.741,496.8
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,10,0.263,171
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,40,1.212,812
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,10,0.303,257
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,20,1.016,680
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,133013,2.50 - 15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,4,0.42,251.2
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,701071,10x5x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,4,0.034,30.8
19.07.2024,AUS-TFY,141,AUS/TFY- CONTAINER 34(SYDNEY),957,719072,21x7x15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,4,0.208,138.8
