Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,20,0.52,342
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.32,203
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,50,1.95,"1,330.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,30,1.57,"1,044.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,40,2.9,"1,876.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,101042,15 x 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,20,0.34,202
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,20,0.37,202
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,50,1.58,"1,030.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.79,456
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,10,0.39,269
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,20,1.05,704
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,20,1.31,894
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,20,1.45,950
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.05,692
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,10,1.04,584
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,133042,250-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.4,0.1127,10,1.13,654
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,138042,8.25-15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.1,0.1362,10,1.36,851
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1682,10,1.68,"1,064.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,104043,18x7-8,RUNNERSOLID,NM,STD,4.33,3 LAYER,20.4,0.0316,10,0.32,204
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,102045,5.00-8,RUNNERSOLID,NMG,STD,3,3 LAYER,17.2,0.0259,4,0.1,68.8
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,111045,6.00-9,RUNNERSOLID,NMG,STD,4,3 LAYER,26.7,0.039,4,0.16,106.8
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,119045,6.50-10,RUNNERSOLID,NMG,STD,5,3 LAYER,35.3,0.0523,4,0.21,141.2
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,125045,7.00-12,RUNNERSOLID,NMG,STD,5,3 LAYER,47.9,0.0725,4,0.29,191.6
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,101044,15 x 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,20,0.34,206
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,20,0.37,204
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,104044,18x7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,112044,21x8-9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.5,0.0494,10,0.49,335
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,12,0.92,570
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,101046,15 x 4 1/2 - 8,RUNNERSOLID,NMG,CLIP,3,3 LAYER,10.5,0.0171,10,0.17,105
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,103046,16x 6-8 ,RUNNERSOLID,NMG,CLIP,4.33,3 LAYER,16.8,0.0263,10,0.26,168
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,104046,18x7-8,RUNNERSOLID,NMG,CLIP,4.33,3 LAYER,21,0.0316,10,0.32,210
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,110046,140/55-9,RUNNERSOLID,NMG,CLIP,4,3 LAYER,10.4,0.0186,10,0.19,103.95
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,118046,200/50-10,RUNNERSOLID,NMG,CLIP,6.5,3 LAYER,23.4,0.0394,10,0.39,234
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,153051,10.00-20,ROCKSOLID,BLACK,STD,7.5,3 LAYER,168,0.279,6,1.67,"1,008.00"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,154051,10.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,168.5,0.279,3,0.84,505.5
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,155051,12.00-20,ROCKSOLID,BLACK,STD,8,3 LAYER,209.3,0.3327,6,2,"1,255.80"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,134052,250-15,ROCKSOLID,BLACK,CLIP,7.5,3 LAYER,67.5,0.1149,10,1.15,675
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,10,1.39,889
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,10,1.06,602
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,136054,28x12 1/2 -15,ROCKSOLID,NM,CLIP,9.75,3 LAYER,77.7,0.1365,2,0.27,155.4
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,167327,36x14-20,SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,129.8,0.265,2,0.53,259.6
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,167328,36x14-20,SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,129.8,0.265,2,0.53,259.6
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,744071,40x20x30,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,288.8,0.5244,8,4.2,"2,310.40"
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,742071,22x14x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,77.4,0.1142,4,0.46,309.6
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,739071,28x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,99.1,0.1803,4,0.72,396.4
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,8,0.21,152.8
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,708072,16 1/4x5x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,15.5,0.0223,8,0.18,124
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,730072,16 1/4x7x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,20.9,0.0312,8,0.25,167.2
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,714072,18x6x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,8,0.26,180
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,717072,18x9x12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,33.2,0.0491,4,0.2,132.8
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,719074,21x7x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,34.6,0.052,4,0.21,138.4
7/29/2024,SPAIN,145,SPA-GTI-Order 20 (R),962,170051,14.00-24,ROCKSOLID,BLACK,STD,10,3 LAYER,368.5,0.5767,2,1.15,737
