Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,26,0.684,452.4
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,74,2.242,"1,953.60"
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,18,0.914,633.6
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,6,0.294,206.4
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,24,0.727,499.2
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,60,4.146,"2,742.00"
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,6,0.629,387.6
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,138161,8.25-15 ((WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,10,1.358,906
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.2
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,16,1.509,939.2
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,155011,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,203.9,0.3074,4,1.23,815.6
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,119162,6.50-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,35.4,0.0508,2,0.102,70.8
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,4,0.41,241.2
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,16,0.485,324.8
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,10,0.263,171
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,119163,6.50-10(WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,10,0.508,340
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,10,0.691,446
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,4,0.42,251.2
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER ,34.9,0.0523,4,0.209,139.6
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,704071,14x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,4,0.06,48
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,2,0.076,52.6
31.01.2024,AUS-TFY,15,AUS/TFY- CONTAINER 25,825,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,4,0.238,163.2
