Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,40,1.56,"1,064.00"
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696.00
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,140,10.15,"6,566.00"
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,704071,14x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,40,0.6,480.00
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,24,0.4,297.6
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,706071,15x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,20,0.38,266
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,220,5.7,"4,312.00"
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,715071,18x7x12-1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,20,0.76,526
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,200,10.4,"7,080.00"
07.08.2024,USA - TMH,151,TMH-S ORDER 05,968,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,30,0.78,573
