Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,50,1.315,870.00
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,60,1.818,1584
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,40,2.032,"1,408.00"
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,120,8.292,5484
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,12,1.2588,775.2
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,138161,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,24,3.2592,2174.4
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,2 LAYER,108.7,0.1701,10,1.701,"1,087.00"
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,20,0.526,342.00
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,30,0.771,474
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,60,1.818,1218
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,30,1.524,1020
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,112163,21x 8-9 (WIDE),ACHIEVER PLUS,NM,STD,6,3 LAYER ,33.4,0.049,40,1.96,1336
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,133013,2.50 - 15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,20,2.098,1256
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,30,2.073,1338
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,6,0.6144,349.8
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,139163,3.00-15 (WIDE),ACHIEVER PLUS,NM,STD,8,3 LAYER ,105.9,0.1701,4,0.6804,423.6
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,111041,6.00-9 (WIDE),RUNNERSOLID,BLACK,STD,4,3 LAYER ,26.6,0.039,7,0.273,186.2
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,136052,28x12-1/2-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,76.6,0.1365,4,0.546,306.4
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,730071,16 1/4x7x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,20.8,0.0312,10,0.312,208
12.08.2024,AUS/TFY,155,AUS/TFY- CONTAINER 35(PERTH),972,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,7,0.2674,184.1
