Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,111241,6.00-9 (WIDE),ACHIEVER ,BLACK,STD,4,3 LAYER ,27.1,0.0303,70,2.121,1897
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,119241,6.50-10 (WIDE),ACHIEVER ,BLACK,STD,5,3 LAYER ,35.8,0.0508,70,3.556,"2,506.00"
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,125001,7.00-12,ACHIEVER ,BLACK,STD,5,3 LAYER ,46.8,0.0691,70,4.837,3276
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,135001,28x9-15,ACHIEVER ,BLACK,STD,7,3 LAYER ,59.6,0.1024,70,7.168,"4,172.00"
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,138241,8.25 - 15 (WIDE),ACHIEVER ,BLACK,STD,6.50,3 LAYER,92.9,0.1358,30,4.074,2787
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,20,0.606,528
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,20,1.016,704
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER ,10.7,0.0172,10,0.172,107
15.08.2024,IND-PTI,159,IND-PTI - ORDER 02,976,139051,3.00-15,ROCKSOLID,BLACK,STD,8,3 LAYER,107.4,0.1711,10,1.711,1074
