Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,102241,5.00-8 (WIDE),3,2LAYER,17.6,0.0263,30,0.789,528,15,0.3945,264
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,111241,6.00-9 (WIDE),4,2LAYER,27.1,0.0383,80,3.064,2168,80,3.064,2168
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,125001,7.00-12,5,2LAYER,46.8,0.0691,80,5.528,3744,40,2.764,1872
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,119242,6.50 - 10 (WIDE),5,2LAYER,36.3,0.0508,60,3.048,2178,40,2.032,1452
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,120242,23x9-10 (WIDE),6.5,2LAYER,47.3,0.068,20,1.36,946,20,1.36,946
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,133002,2.50-15,7,2LAYER,66.3,0.1049,20,2.098,1326,8,0.8392,530.4
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,138242,8.25-15 (WIDE),6.5,2LAYER,94,0.1358,20,2.716,1880,20,2.716,1880
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,152161,10.00-20 (WIDE),7,3 LAYER,162,0.2622,1,0.2622,162,1,0.2622,162
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,111162,6.00-9 (WIDE),4,3 LAYER,26.8,0.0383,30,1.149,804,20,0.766,536
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,119162,6.50 - 10 (WIDE),5,3 LAYER,35.4,0.0508,100,5.08,3540,50,2.54,1770
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,120162,23x9-10 (WIDE),6.5,3 LAYER,46.6,0.068,50,3.4,2330,10,0.68,466
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,125012,7.00-12,5,3 LAYER,46.1,0.0691,40,2.764,1844,25,1.7275,1152.5
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,126012,23X10-12,8,3 LAYER,50.7,0.0774,40,3.096,2028,40,3.096,2028
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,127012,27X10-12 ,8,3 LAYER,73.4,0.1066,40,4.264,2936,20,2.132,1468
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,138162,8.25-15 (WIDE),6.5,3 LAYER,91.5,0.1358,40,5.432,3660,30,4.074,2745
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,138052,8.25-15,6.5,3 LAYER,88.9,0.1385,40,5.54,3556,30,4.155,2667
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,139052,3.00-15,8,3 LAYER,108.5,0.1711,30,5.133,3255,30,5.133,3255
8/26/2024,UNITED KINGDOM,169,UK/RTL- ORDER -53,989,738071,28x12x22,-,2 LAYER,83.5,0.1545,8,1.236,668,8,1.236,668
