Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,101001,15x4 1/2-8 ,ACHIEVER ,BLACK,STD,3,2LAYER,9,0.0147,40,0.588,360
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2LAYER,35.8,0.0508,50,2.54,1790
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,104002,18 x 7 - 8 ,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,20.9,0.0303,80,2.424,1672
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,110002,140/55-9,ACHIEVER ,BLACK,CLIP,4,2LAYER,10,0.0179,30,0.537,300
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,111242,6.00-9 (WIDE),ACHIEVER ,BLACK,CLIP,4,2LAYER,27.3,0.0383,20,0.766,546
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,125002,7.00-12,ACHIEVER ,BLACK,CLIP,5,2LAYER,47.3,0.0691,15,1.0365,709.5
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,134002,2.50-15,ACHIEVER ,BLACK,CLIP,7.5,2LAYER,69.3,0.1103,4,0.4412,277.2
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,101161,15x4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.7,0.0147,30,0.441,291
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,50,1.315,870
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,60,3.048,2112
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,5,1.311,836.5
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.246,3,0.738,503.4
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,16,4.9184,3275.2
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,60,1.818,1254
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,40,0.716,400
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,120162,23x9-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,10,0.68,466
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,4,0.4412,270
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,46,4.7104,2773.8
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,136012,28x12-1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,6,0.8124,501.6
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,40,0.744,404
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,10,0.394,228
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,127042,27X10-12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.051,692
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,705071,14x5x10,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,8,0.132,99.2
8/26/2024,UNITED KINGDOM,165,UK/RTL- ORDER -51,983,709072,16 1/4x6x11-1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,18.2,0.0267,20,0.534,364
