Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,102241,5.00-8 (WIDE),ACHIEVER ,BLACK,STD,3,2LAYER,17.6,0.0263,15,0.3945,264
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2LAYER,35.8,0.0508,10,0.508,358
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,125001,7.00-12,ACHIEVER ,BLACK,STD,5,2LAYER,46.8,0.0691,40,2.764,1872
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,101002,15x4 1/2-8 ,ACHIEVER ,BLACK,CLIP,3,2LAYER,9.2,0.0147,30,0.441,276
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,103002,16x6-8,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,16,0.0244,50,1.22,800
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,104002,18 x 7 - 8 ,ACHIEVER ,BLACK,CLIP,4.33,2LAYER,20.9,0.0303,20,0.606,418
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,110002,140/55-9,ACHIEVER ,BLACK,CLIP,4,2LAYER,10,0.0179,20,0.358,200
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,111242,6.00-9 (WIDE),ACHIEVER ,BLACK,CLIP,4,2LAYER,27.3,0.0383,10,0.383,273
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,119242,6.50 - 10 (WIDE),ACHIEVER ,BLACK,CLIP,5,2LAYER,36.3,0.0508,20,1.016,726
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,125002,7.00-12,ACHIEVER ,BLACK,CLIP,5,2LAYER,47.3,0.0691,25,1.7275,1182.5
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,133002,2.50-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,66.3,0.1049,12,1.2588,795.6
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,134002,2.50-15,ACHIEVER ,BLACK,CLIP,7.5,2LAYER,69.3,0.1103,6,0.6618,415.8
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,135002,28x9-15,ACHIEVER ,BLACK,CLIP,7,2LAYER,60.3,0.1024,20,2.048,1206
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,40,2.032,1408
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,5,1.311,836.5
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,4,1.2296,818.8
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,40,1.212,836
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,10,0.383,268
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,50,2.54,1770
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,120162,23x9-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.6,0.068,30,2.04,1398
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,15,1.0365,691.5
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,127012,27X10-12 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.132,1468
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,20,2.098,1304
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1103,6,0.6618,405
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,14,1.4336,844.2
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,136012,28x12-1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,83.6,0.1354,4,0.5416,334.4
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,10,1.358,915
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,30,1.17,798
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,40,0.744,404
8/26/2024,UNITED KINGDOM,168,UK/RTL- ORDER -52,988,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.788,456
