Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,100001,4.00 - 8,ACHIEVER ,BLACK,STD,3,2 LAYER,10.9,0.0166,6,0.1,65.4
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,101001,15X4 1/2-8,ACHIEVER ,BLACK,STD,3,2 LAYER,9,0.0147,6,0.088,54
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,103001,16X6-8,ACHIEVER ,BLACK,STD,4.33,2 LAYER,15.8,0.0244,6,0.146,94.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,104001,18X7-8,ACHIEVER ,BLACK,STD,4.33,2 LAYER,20.8,0.0303,6,0.182,124.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,102241,5.00 - 8 (WIDE),ACHIEVER ,BLACK,STD,3,2 LAYER,17.6,0.0263,6,0.158,105.6
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,110001,140/55 - 9,ACHIEVER ,BLACK,STD,4,2 LAYER,9.8,0.0179,4,0.072,39.2
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,112001,21X8- 9,ACHIEVER ,BLACK,STD,6,2 LAYER,34.1,0.0377,6,0.226,204.6
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,111241,6.00 - 9 (WIDE),ACHIEVER ,BLACK,STD,4,2 LAYER,27.1,0.0383,16,0.613,433.6
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,118001,200/50 - 10,ACHIEVER ,BLACK,STD,6.5,2 LAYER,23.7,0.0388,6,0.233,142.2
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,119241,6.50 - 10 (WIDE),ACHIEVER ,BLACK,STD,5,2 LAYER,35.8,0.0508,20,1.016,716
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,120241,23X9-10 (WIDE),ACHIEVER ,BLACK,STD,6.5,2 LAYER,46.7,0.068,4,0.272,186.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,125001,7.00 - 12,ACHIEVER ,BLACK,STD,5,2 LAYER,46.8,0.0691,12,0.829,561.6
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,126001,23X10-12,ACHIEVER ,BLACK,STD,8,2 LAYER,50.5,0.0774,4,0.31,202
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,127001,27X10-12,ACHIEVER ,BLACK,STD,8,2 LAYER,73.2,0.1066,4,0.426,292.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,135001,"28X9-15, 8.15-15",ACHIEVER ,BLACK,STD,7,2 LAYER,59.6,0.1024,8,0.819,476.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,100002,4.00 - 8,ACHIEVER ,BLACK,CLIP,3,2 LAYER,11.1,0.0166,2,0.033,22.2
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,101002,15X4 1/2-8,ACHIEVER ,BLACK,CLIP,3,2 LAYER,9.2,0.0147,4,0.059,36.8
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,103002,16X6-8,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,16,0.0244,6,0.146,96
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,104002,18X7-8,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,6,0.182,125.4
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,102242,5.00 - 8 (WIDE),ACHIEVER ,BLACK,CLIP,3,2 LAYER,17.9,0.0263,6,0.158,107.4
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,110002,140/55 - 9,ACHIEVER ,BLACK,CLIP,4,2 LAYER,10,0.0179,2,0.036,20
31.08.2024,CYP- SHT,167,CYP- SHT- ORDER 02,985,112001,21X8- 9,ACHIEVER ,BLACK,CLIP,6,2 LAYER,34.1,0.0377,6,0.226,204.6
