Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,14,0.368,243.6
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,60,4.146,"2,742.00"
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.024,593
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,133011,2.50 - 15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,4,0.42,258.4
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,10,1.701,"1,087.00"
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,101162,15X4 1/2-8(WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER ,9.9,0.0161,20,0.322,198
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,10,0.0179,10,0.179,100
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,103162,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0257,10,0.257,166
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,102162,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER ,17.6,0.0263,8,0.21,140.8
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,118012,200/50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,6,0.233,143.4
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,10,0.691,461
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,60.3,0.1024,6,0.614,361.8
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,6,0.64,440.4
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,139162,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,109.2,0.1701,6,1.021,655.2
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,133012,2.50 - 15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,8,0.839,521.6
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,102163,5.00 - 8(WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER,17.1,0.0263,8,0.21,136.8
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,104013,18X7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER,20.3,0.0303,10,0.303,203
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,101164,15X4 1/2-8(WIDE),ACHIEVER PLUS,NM,CLIP,3,3 LAYER ,9.7,0.0161,50,0.805,485.00
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,110014,140/55 - 9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER ,9.85,0.0179,14,0.251,137.9
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,103164,16X6-8(WIDE),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,16.1,0.0232,10,0.232,161
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,50,1.515,"1,020.00"
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,112164,21X8- 9(WIDE),ACHIEVER PLUS,NM,CLIP,6,3 LAYER ,33.9,0.049,14,0.686,474.6
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0316,10,0.316,203
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,111041,6.00-9 ,RUNNERSOLID,BLACK,STD,4,3 LAYER ,26.6,0.039,60,2.34,"1,596.00"
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,14,0.732,487.2
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,20,0.632,412
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,111042,6.00-9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,26.9,0.039,10,0.39,269
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,10,0.494,333
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,10,0.523,352
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,10,0.657,447
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,706071,15x5x11-1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.3,0.019,30,0.57,399
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,30,0.648,489
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,30,0.777,588
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,30,1.146,789
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,30,1.56,"1,062.00"
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,10,0.594,408
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,706073,15x5x11-1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER,13.4,0.019,10,0.19,134
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,711073,16x6x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,19.7,0.0259,10,0.259,197.01
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,715073,18x7x12 1/8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,26.4,0.0382,10,0.382,264
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,719073,21x7x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,35.6,0.052,10,0.52,356
04.09.2024,MOR-FAM ,172,MOR-FAM -ORDER 01,992,720073,21x8x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.9,0.0594,10,0.594,409
