Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,30,0.789,492
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,40,1.264,824
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,110042,140/55 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,30,0.558,303
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,102042,5.00-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,20,0.518,348
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,30,1.17,807
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,40,1.576,912
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,135042,28x9-15/8.15-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,50,5.205,"2,920.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,70,3.661,"2,464.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,138042,8.25 - 15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.1,0.1362,50,6.81,"4,255.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,30,2.175,"1,425.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,60,1.554,"1,176.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,60,3.12,"2,124.00"
9/6/2024,COL-PTS,173,COL-PTS - ORDER 01,993,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,60,3.564,"2,448.00"
