Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,111171,6.00-9,RHINO RUBBER,BLACK,STD,4,3 LAYER,25.8,0.0377,40,1.51,"1,032.00"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,170051,14.00-24,ROCKSOLID,BLACK,STD,10,3 LAYER,368.5,0.5767,12,6.92,"4,422.00"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,50,1.3,980.00
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,715071,18X7X12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,100,3.82,"2,630.00"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,40,2.38,"1,632.00"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,24,1.56,"1,029.60"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,50,4.9,"3,245.00"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,711073,16x6x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,19.7,0.0259,60,1.55,"1,182.06"
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,723073,22x9x16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,49.1,0.0734,16,1.17,785.6
9/10/2024,USA-RRL,174,RRL ORDER 26 (R),994,738073,28x12x22,RUNNERBAND,NM,SMOOTH,-,2 LAYER,84,0.1545,8,1.24,672
