Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,30,0.789,522
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,112161,21x 8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,20,0.98,688
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,120,3.636,"3,168.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,70,3.556,"2,464.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,40,2.764,"1,828.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,30,3.072,"1,779.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,20,1.886,"1,174.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,40,1.028,632
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,30,0.909,609
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,20,0.606,514
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,40,2.032,"1,360.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,40,2.764,"1,784.00"
23.09.2024,AUS-TFY,180,AUS/TFY- CONTAINER 37(SYDNEY) ,1001,701073,10x5x6 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,8,0.0084,6,0.05,48
