Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,4,0.68,436.8
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,102041,5.00-8 ,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,50,1.3,855
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,20,1.05,696
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,125041,7.00 -12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,10,0.73,469
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,101042,15X4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,40,0.68,404
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0316,10,0.32,164
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,80,2.53,"1,648.00"
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,102042,5.00-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,10,0.26,174
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.1,0.0186,10,0.19,101
9/30/2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R2),1007,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,20,0.79,456
