Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,185012,315/45-12,ACHIEVER PLUS,BLACK,CLIP,10,,58.7,0.09,20,1.8,"1,174.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,16,1.68,"1,043.20"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,185014,315/45-12,ACHIEVER PLUS,NM,CLIP,10,3 LAYER,58.7,0.09,20,1.8,"1,174.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.8,0.0523,16,0.84,556.8
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,102042,5.00-8 ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,16,0.41,278.4
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.1,0.0186,10,0.19,101
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,20,1.05,704
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,120042,23X9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,50,3.29,"2,235.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,125042,7.00 -12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,20,1.45,950
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,127042,27X10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,20,2.1,"1,384.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,178042,355/50-15,RUNNERSOLID,BLACK,CLIP,9.75,3 LAYER,89.1,0.14,6,0.84,534.6
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,104044,18X7-8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.6,0.0316,90,2.84,"1,854.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.1,0.0394,10,0.39,231
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,120044,23X9-10 ,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,45,0.0657,20,1.31,900
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,125044,7.00 -12,RUNNERSOLID,NM,CLIP,5,3 LAYER,47.8,0.0725,30,2.18,"1,434.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,126044,23x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,47.5,0.0764,10,0.76,475
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,178044,355/50-15,RUNNERSOLID,NM,CLIP,9.75,3 LAYER,89.2,0.14,10,1.4,892
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,135051,28x9-15,ROCKSOLID,BLACK,STD,7,3 LAYER,59.3,0.1064,30,3.19,"1,779.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,135052,28x9-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,60.2,0.1064,40,4.26,"2,408.00"
27.09.2024,POL-4XT,185,POL-4XT (Order 08)-WDT ORDER 10 (R),1005,133052,2.50-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.3,0.1149,10,1.15,673
