date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,152221,10.00-20(CW),ACHIEVER,BLACK,STD,7,2 LAYER ,198,0.246,40,9.84,"7,920.00"
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER ,10,0.0179,4,0.07,40
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,101002,15 x 4.5 - 8,ACHIEVER,BLACK,CLIP,3,2 LAYER ,9.2,0.0147,4,0.06,36.8
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,104002,18 x 7 - 8 ,ACHIEVER,BLACK,CLIP,4.33,2 LAYER ,20.9,0.0303,4,0.12,83.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER ,23.9,0.0388,4,0.16,95.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,104011,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,2,0.06,41.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0377,12,0.45,312
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,50,1.52,"1,045.00"
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,112012,21 x 8 - 9 ,ACHIEVER PLUS,BLACK,CLIP,6,3 LAYER ,33.6,0.0478,12,0.57,403.2
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,111012,6.00-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER ,26.4,0.0377,2,0.08,52.8
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,120012,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,44.5,0.0627,24,1.5,"1,068.00"
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER ,46.1,0.0691,10,0.69,461
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,126012,23 x 10 - 12 ,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,50.7,0.0774,6,0.46,304.2
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,133012,2.50 - 15(250/70-15),ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER ,65.2,0.1049,8,0.84,521.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,127012,27 x 10 - 12(250/75-12),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,73.4,0.1066,12,1.28,880.8
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,81.3,0.1232,16,1.97,"1,300.80"
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,139012,300 - 15(315/70-15),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER ,103.5,0.1563,10,1.56,"1,035.00"
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,136012,28 x 12.5 - 15 ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,84.2,0.1354,10,1.35,842
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,124.8,0.1852,2,0.37,249.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,104014,18 x 7-8 (180/70-8),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER ,20.4,0.0303,30,0.91,612
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,112014,21 x 8 - 9 ,ACHIEVER PLUS,NM,CLIP,6,3 LAYER ,32.8,0.0478,2,0.1,65.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,23.6,0.0388,16,0.62,377.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,120014,23 x 9 - 10 (225/75-10),ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER ,43.6,0.0627,10,0.63,436
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,126014,23 x 10 - 12 ,ACHIEVER PLUS,NM,CLIP,8,3 LAYER ,49.7,0.0774,2,0.15,99.4
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,101042,15 x 4.5 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,10.3,0.0171,16,0.27,164.8
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,103042,16 x 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,16.6,0.0263,6,0.16,99.6
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.3,0.0186,20,0.37,206
27.10.2023,POLAND,238,POLAND-DIR-Order 08 (R2),751,101044,15 x 4.5 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER ,10.3,0.0171,10,0.17,103
