Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,102161,5.00-8 (Wide),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,10,0.263,174
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,3,0.091,62.4
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,111161,6.00-9 (Wide),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,10,0.383,264
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,119161,6.50-10 (Wide),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,40,2.032,"1,408.00"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,8,0.553,365.6
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,64.6,0.1049,2,0.21,129.2
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,139161,3.00-15 (Wide),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1701,12,2.041,"1,304.40"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,10,0.179,100
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,103162,16x6-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,10,0.257,166.00
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,102162,5.00-8 (Wide),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,10,0.263,176
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,104012,18x7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,100,3.03,"2,090.00"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,20,0.776,478.00
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,111162,6.00-9 (Wide),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,4,0.153,107.2
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,119162,6.50-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,70,3.556,"2,478.00"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,12,0.829,553.2
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,120162,23x9-10 (Wide),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,36,2.448,"1,684.80"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,141012,7.00-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,58.4,0.0943,4,0.377,233.6
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,135012,28x9-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,30,3.072,"1,809.00"
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,127012,27x10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,4,0.426,293.6
08.02.2024,HUNG-PFK,24,HUNGARY - PFK OREDR 03,835,139162,3.00-15 (Wide),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,20,3.402,"2,184.00"
