date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
10.11.2023,USA-RRL,249,RRL ORDER 20,764,700071,10X4X6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,6.2,0.0067,100,0.67,620
10.11.2023,USA-RRL,249,RRL ORDER 20,764,701071,10X5X6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,7.7,0.0084,110,0.92,847
10.11.2023,USA-RRL,249,RRL ORDER 20,764,710071,16X5X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,84,1.81,"1,369.20"
10.11.2023,USA-RRL,249,RRL ORDER 20,764,705071,14X5X10 ,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12.4,0.0165,50,0.83,620
10.11.2023,USA-RRL,249,RRL ORDER 20,764,712071,16X7X10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0302,30,0.91,684
10.11.2023,USA-RRL,249,RRL ORDER 20,764,720071,21x8x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,20,1.19,816
10.11.2023,USA-RRL,249,RRL ORDER 20,764,723071,22x9x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,20,1.47,972
10.11.2023,USA-RRL,249,RRL ORDER 20,764,730072,16 1/4x7x11 1/4,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,47.5,0.0312,20,0.62,950
10.11.2023,USA-RRL,249,RRL ORDER 20,764,703073,13.5X5.5X8,RUNNERBAND,NM,SMOOTH,-,2 LAYER,14.1,0.0169,24,0.41,338.4
10.11.2023,USA-RRL,249,RRL ORDER 20,764,709073,16 1/4X6X11 1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER,19.2,0.0267,30,0.8,576
10.11.2023,USA-RRL,249,RRL ORDER 20,764,719073,21x7x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,35.6,0.052,60,3.12,"2,136.00"
10.11.2023,USA-RRL,249,RRL ORDER 20,764,720073,21x8x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER,40.9,0.0594,40,2.38,"1,636.00"
10.11.2023,USA-RRL,249,RRL ORDER 20,764,722073,22x8x16,RUNNERBAND,NM,SMOOTH,-,2 LAYER,43,0.0652,20,1.3,860
10.11.2023,USA-RRL,249,RRL ORDER 20,764,738073,28x12x22,RUNNERBAND,NM,SMOOTH,-,2 LAYER,84,0.1545,12,1.85,"1,008.00"
10.11.2023,USA-RRL,249,RRL ORDER 20,764,719074,21x7x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,34.6,0.052,60,3.12,"2,076.00"
10.11.2023,USA-RRL,249,RRL ORDER 20,764,720074,21x8x15,RUNNERBAND,NM,TRACTION,-,2 LAYER,40.1,0.0594,20,1.19,802
10.11.2023,USA-RRL,249,RRL ORDER 20,764,169332,360/85-28 (With mounted rims),TELESOILD,BLACK,CLIP,######,3 LAYER,406,0.601,4,2.4,"1,624.00"
