Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,22,0.57,358.6
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,102161,5.00-8 (WIDE,ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,24,0.63,417.6
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0377,50,1.89,"1,320.00"
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,20,1.02,704
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,101162,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,24,0.39,237.6
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,76,1.36,760
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,103162,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,20,0.51,332
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,102162,5.00-8 (WIDE,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,20,0.53,352
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,104012,18X7-8  ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,40,1.21,836.00
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,80,3.1,"1,912.00"
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0377,26,0.98,696.8
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,20,1.02,708.00
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,24,1.66,"1,106.40"
09.02.2024,ISRL-KST,27,ISRL-KST- ORDER - 40,839,120162,23X9-10  (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,12,0.82,561.60
