Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
12.02.2024,USA,29,USA-TFT -ORDER O1,841,709071,16 1/4x6-11 1/4,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,19.3,0.0267,6,0.16,115.8
12.02.2024,USA,29,USA-TFT -ORDER O1,841,710071,16x5-10 1/2,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,20,0.43,326
12.02.2024,USA,29,USA-TFT -ORDER O1,841,711071,16x6-10 1/2,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,80,2.07,"1,568.00"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,714071,18x6-12 1/8,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,30,0.98,684.00
12.02.2024,USA,29,USA-TFT -ORDER O1,841,715071,18x7-12 1/8,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,30,1.15,789.00
12.02.2024,USA,29,USA-TFT -ORDER O1,841,716071,18x8-12 1/8,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,20,0.87,618
12.02.2024,USA,29,USA-TFT -ORDER O1,841,719071,21x7-15,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,40,2.08,"1,416.00"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,720071,21x8-15,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,40,2.38,"1,632.00"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,722071,22x8-16,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,12,0.78,514.8
12.02.2024,USA,29,USA-TFT -ORDER O1,841,723071,22x9-16,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,12,0.88,583.2
12.02.2024,USA,29,USA-TFT -ORDER O1,841,738071,28x12-22,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,16,2.47,"1,336.00"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,714072,18x6-12 1/8,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,22.5,0.0328,4,0.13,90
12.02.2024,USA,29,USA-TFT -ORDER O1,841,719072,21x7-15,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,20,1.04,694
12.02.2024,USA,29,USA-TFT -ORDER O1,841,720072,21x8-15,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,40.5,0.0594,20,1.19,810
12.02.2024,USA,29,USA-TFT -ORDER O1,841,709073,16 1/4x6-11 1/4,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,19.2,0.0267,6,0.16,115.2
12.02.2024,USA,29,USA-TFT -ORDER O1,841,710073,16x5-10 1/2,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,16.3,0.0216,20,0.43,326
12.02.2024,USA,29,USA-TFT -ORDER O1,841,711073,16x6-10 1/2,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,19.7,0.0259,80,2.07,"1,576.08"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,714073,18x6-12 1/8,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,23,0.0328,20,0.66,460
12.02.2024,USA,29,USA-TFT -ORDER O1,841,715073,18x7-12 1/8,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,26.6,0.0382,30,1.15,798
12.02.2024,USA,29,USA-TFT -ORDER O1,841,716073,18x8-12 1/8,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,31.1,0.0437,20,0.87,622
12.02.2024,USA,29,USA-TFT -ORDER O1,841,719073,21x7-15,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,35.6,0.052,40,2.08,"1,424.00"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,720073,21x8-15,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,40.9,0.0594,48,2.85,"1,963.20"
12.02.2024,USA,29,USA-TFT -ORDER O1,841,723073,22x9-16,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,49.1,0.0734,12,0.88,589.2
12.02.2024,USA,29,USA-TFT -ORDER O1,841,721073,22x12-16,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,64.4,0.0979,10,0.98,644
12.02.2024,USA,29,USA-TFT -ORDER O1,841,738073,28x12-22,RUNNER BAND,NM-Lt. CREAM,SMOOTH,-,2 LAYER,84,0.1545,8,1.24,672
12.02.2024,USA,29,USA-TFT -ORDER O1,841,719074,21x7-15,RUNNER BAND,NM-Lt. CREAM,TRACTION,-,2 LAYER,34.6,0.052,8,0.42,276.8
12.02.2024,USA,29,USA-TFT -ORDER O1,841,720074,21x8-15,RUNNER BAND,NM-Lt. CREAM,TRACTION,-,2 LAYER,40.1,0.0594,8,0.48,320.8
