Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
19.02.2024,USA - TMH,33,TMH ORDER 03,845,111041,6.00 - 9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,20,0.78,536
19.02.2024,USA - TMH,33,TMH ORDER 03,845,139041,3.00-15,RUNNERSOLID,BLACK,STD,8,3 LAYER,105.9,0.1682,8,1.3456,847.2
19.02.2024,USA - TMH,33,TMH ORDER 03,845,702071,12x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,9.2,0.0109,10,0.109,92
19.02.2024,USA - TMH,33,TMH ORDER 03,845,704071,14x4 1/2x8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,24,0.3576,288
19.02.2024,USA - TMH,33,TMH ORDER 03,845,706071,15x5x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,13.4,0.019,40,0.76,536
19.02.2024,USA - TMH,33,TMH ORDER 03,845,711071,16x6x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,200,5.18,3920
19.02.2024,USA - TMH,33,TMH ORDER 03,845,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.3,0.0267,12,0.3204,231.6
19.02.2024,USA - TMH,33,TMH ORDER 03,845,715071,18x7x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,26.3,0.0382,20,0.764,526
19.02.2024,USA - TMH,33,TMH ORDER 03,845,719071,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,200,10.4,7080
19.02.2024,USA - TMH,33,TMH ORDER 03,845,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,12,0.7824,514.8
19.02.2024,USA - TMH,33,TMH ORDER 03,845,723071,22x9x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,12,0.8808,583.2
19.02.2024,USA - TMH,33,TMH ORDER 03,845,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,8,0.7832,519.2
19.02.2024,USA - TMH,33,TMH ORDER 03,845,738071,28x12x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,83.5,0.1545,8,1.236,668
19.02.2024,USA - TMH,33,TMH ORDER 03,845,711072,16x6x10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,90,2.331,1719
19.02.2024,USA - TMH,33,TMH ORDER 03,845,719072,21x7x15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.7,0.052,80,4.16,2776
