Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,110042,140 / 55- 9,RUNNER SOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,120,2.23,"1,212.00"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,104042,18 X 7- 8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,46,1.45,947.6
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,118042,200/ 50 – 10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,120,4.73,"2,736.00"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,112042,21 X 8-9,RUNNER SOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,10,0.49,333
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,135042,28x9-15 ,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,4,0.42,233.6
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,126042,23 X 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,24,1.83,"1,130.40"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,127042,27 X 10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,28,2.94,"1,937.60"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,139042,300-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.4,0.1682,18,3.03,"1,915.20"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,111044,6.00-9,RUNNER SOLID,NM Lt.CREAM,CLIP,4,3 LAYER,27.1,0.039,2,0.08,54.2
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,110044,140 / 55 – 9,RUNNER SOLID,NM Lt.CREAM,CLIP,4,3 LAYER,10.4,0.0186,20,0.37,208.00
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,126044,23 X 10-12,RUNNER SOLID,NM Lt.CREAM,CLIP,8,3 LAYER,47.5,0.1051,6,0.63,285
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,155051,12.00-20,ROCK SOLID,BLACK,STD,8,3 LAYER,208.4,0.3074,28,8.61,"5,835.20"
22.02.2024,GER-MHN,37,GER-MHN- ORDER 03,849,136052,28x12 1/2 -15 (355/45/15),ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,14,1.91,"1,079.40"
