Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,156221,12.00-20 (CW),ACHIEVER,BLACK,STD,8.5,2 LAYER,262.4,0.3074,2,0.61,524.8
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER ,128.1,0.204,6,1.22,768.6
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,156001,12.00-20 ,ACHIEVER,BLACK,STD,8.5,2 LAYER ,207.4,,6,0.00,"1,244.40"
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,102011,5.00-8,ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,15.6,0.0232,32,0.74,499.2
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,111011,6.00-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26,0.0377,32,1.21,832
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,119011,6.50-10,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,33.7,0.0488,24,1.17,808.8
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,135011,28 x 9 - 15 (8.15-15),ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,10,1.02,593
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,20,1.38,914
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER ,20.9,0.0303,22,0.67,459.8
28.02.2024,POLAND,276,POLAND-DIR-Order 10,851,118012,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER ,23.9,0.0388,4,0.16,95.6
