Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,30,0.789,522.00
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,10,0.257,163
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,50,1.515,"1,320.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,30,1.524,"1,056.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832.00
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,14,1.469,904.40
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,66.6,0.1103,2,0.221,133.2
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,16,1.638,948.80
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,138161,8.25-15 ((WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,6,0.815,543.60
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,6,1.021,652.20
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,4,0.816,508.8
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,136012,28x12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,2,0.271,167.2
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,20,0.514,316
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,40,1.212,812.00
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,14,0.424,359.8
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,26,1.797,"1,159.60"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,7,0.734,439.6
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,713071,18x5x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,18.6,0.0273,2,0.055,37.2
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,706073,15x5x11 1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,13.4,0.019,10,0.19,134
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,710073,16x5x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,16.3,0.0216,4,0.086,65.2
