Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,60,1.578,"1,044.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,103161,16x6-8 (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,24,0.617,391.2
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,80,2.424,"2,112.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,80,4.064,"2,816.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,100,3.03,"2,080.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,100,6.91,"4,570.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,34,3.567,"2,196.40"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,66.6,0.1103,6,0.662,399.6
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,34,3.482,"2,016.20"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,138161,8.25-15 ((WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER ,90.6,0.1358,12,1.63,"1,087.20"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER ,108.7,0.1701,12,2.041,"1,304.40"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,6,1.224,763.2
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,136012,28x12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,6,0.812,501.6
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,40,1.028,632
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,60,1.818,"1,218.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,30,0.909,771
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,40,2.764,"1,784.00"
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,133013,2.50-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,62.8,0.1049,13,1.364,816.4
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,713071,18x5x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,18.6,0.0273,6,0.164,111.6
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,706073,15x5x11 1/4,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,13.4,0.019,20,0.38,268
06.03.2024,AUS-TFY,46,AUS/TFY- CONTAINER 27,842,710073,16x5x10 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,16.3,0.0216,6,0.13,97.8
