Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,1,0.0169,10.82
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,200,4.88,"3,206.00"
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,118301,200/50-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,23.67,0.0404,25,1.01,591.75
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,74,2.8046,"1,894.40"
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,50,2.45,1655
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,20,1.364,928
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,139301,3.00-15,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,107.75,0.1661,30,4.983,3232.5
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,101302,15x4 1/2-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,9.42,0.0158,9,0.1422,84.78
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,20,0.808,480.6
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,50,1.895,"1,299.50"
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,47,2.303,1569.8
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,120302,23x9-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,10,0.682,464
27.02.2024,KOREA,47,KOR-NTC-19 1,7000,141302,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,57,0.0922,10,0.922,570
