Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,103042,16X6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,10,0.26,164.00
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,110042,140/55 - 9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,12,0.22,121.2
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,118042,200/50 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,16,0.63,364.8
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,104044,18X7-8,RUNNERSOLID,N.M Lt. CREAM,CLIP,4.33,3 LAYER,20.7,0.0316,20,   ,414.00
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,110044,140/55 - 9,RUNNERSOLID,N.M Lt. CREAM,CLIP,4,3 LAYER,10.4,0.0186,60,1.12,624
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,118044,200/50 - 10,RUNNERSOLID,N.M Lt. CREAM,CLIP,6.5,3 LAYER,23.2,0.0394,40,1.58,928
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,700071,10x4x6 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,6.2,0.0067,12,0.08,74.4
13.03.2024, New Zealand ,53, NZD/PIL Order (LCL)  ,866,717071,18x9x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,34.4,0.0491,6,0.29,206.4
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
