Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,104001,18x7-8 ,ACHIEVER ,BLACK,STD,4.33,2 LAYER,20.8,0.0303,20,0.606,416
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,103002,16x6-8 ,ACHIEVER ,BLACK,CLIP,4.33,2 LAYER,16,0.0244,40,0.976,640
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,102243,5.00-8 (WIDE),ACHIEVER ,NM Off-White,STD,3,2 LAYER,17.8,0.0263,30,0.789,534
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,104004,18x7-8 ,ACHIEVER ,NM Off-White,CLIP,4.33,2 LAYER,21,0.0303,20,0.606,420
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,103012,16x6-8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16,0.0244,4,0.098,64.00
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,110014,140/55-9,ACHIEVER PLUS,NM Off-White,CLIP,4,3 LAYER,9.85,0.0179,10,0.179,98.5
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,118014,200/50-10,ACHIEVER PLUS,NM Off-White,CLIP,6.5,3 LAYER,23.6,0.0388,30,1.164,708.00
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,101044,15x 4 1/2-8,RUNNERSOLID,NM Lt-Cream,CLIP,3,3 LAYER,10.3,0.0171,90,1.539,927
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,104044,18x7-8 ,RUNNERSOLID,NM Lt-Cream,CLIP,4.33,3 LAYER,20.6,0.0316,80,2.528,"1,648.00"
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,136052,28x12 1/2 -15 ,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,10,1.365,771
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,88.9,0.1385,50,6.925,"4,445.00"
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,133052,2.50-15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,50,5.745,"3,355.00"
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,25,4.278,"2,727.50"
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,136054,28x12 1/2 -15 ,ROCKSOLID,NM Lt-Cream,CLIP,9.75,3 LAYER,77.7,0.1365,4,0.546,310.8
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,156431,12.00-20 (CW),ROCKSOLID,BLACK,STD,8.5,3 LAYER,259,0.3327,8,2.662,"2,072.00"
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,742071,22x14x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,77.4,0.1142,2,0.228,154.8
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,746071,33x14x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,155.4,0.2512,5,1.256,777
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,4,0.261,171.6
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,8,0.783,519.2
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,740071,28x10x22,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,69.5,0.1288,1,0.129,69.5
08.03.2024,RUS-TLL,56,RUSSIA OREDR - 16,869,RMSS0002,12.00-20,-,BLACK,-,-,-,28.5,0.04,4,0.16,114
