date,Customer,wono,ref,erp,icode,t_size,brand,fit,col,rim,cons,fweight,ptv,new,cbm,kgs
13.05.2023,RUSSIA / JLT,96,JLT ORDER 1,595,103162,16X6-8 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,30,0.771,498
13.05.2023,RUSSIA / JLT,96,JLT ORDER 2,595,104012,18X7-8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,260,7.878,"5,434.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 3,595,110012,140/55 - 9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,160,2.864,"1,600.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 4,595,111162,6.00 - 9 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,8,0.306,214.4
13.05.2023,RUSSIA / JLT,96,JLT ORDER 5,595,118012,200/50 - 10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,50,1.94,"1,195.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 6,595,119162,6.50 - 10 (Wide Wall),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,150,7.62,"5,310.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 7,595,125012,7.00 - 12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,10,0.691,461
13.05.2023,RUSSIA / JLT,96,JLT ORDER 8,595,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,20,2.132,"1,468.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 9,595,135012,28X9-15 / 8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,8,0.819,482.4
13.05.2023,RUSSIA / JLT,96,JLT ORDER 10,595,103164,16X6-8 (Wide Wall),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,16.1,0.0257,10,0.257,161
13.05.2023,RUSSIA / JLT,96,JLT ORDER 11,595,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,70,2.121,"1,428.00"
13.05.2023,RUSSIA / JLT,96,JLT ORDER 12,595,110014,140/55 - 9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,60,1.074,591
13.05.2023,RUSSIA / JLT,96,JLT ORDER 13,595,118014,200/50 - 10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,26,1.009,613.6
13.05.2023,RUSSIA / JLT,96,JLT ORDER 14,595,104042,18X7-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,10,0.316,208
13.05.2023,RUSSIA / JLT,96,JLT ORDER 15,595,110042,140/55 - 9,RUNNER SOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,10,0.186,103
13.05.2023,RUSSIA / JLT,96,JLT ORDER 16,595,118042,200/50 - 10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,4,0.158,92.4
13.05.2023,RUSSIA / JLT,96,JLT ORDER 17,595,120042,23X9-10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,4,0.263,178.8
13.05.2023,RUSSIA / JLT,96,JLT ORDER 18,595,104044,18X7-8,RUNNER SOLID,NM,CLIP,4.33,3 LAYER,21,0.0316,4,0.126,84
13.05.2023,RUSSIA / JLT,96,JLT ORDER 19,595,110044,140/55 - 9,RUNNER SOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,4,0.074,41.6
