Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,110011,140/55-9,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,9.8,0.0179,10,0.179,98
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0232,30,0.696,522
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,20.8,0.0303,10,0.303,208
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,118011,200/50-10,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,23.5,0.0388,4,0.155,94
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER,34.4,0.0478,4,0.191,137.6
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0488,30,1.464,"1,056.00"
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,40,2.764,"1,828.00"
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,141011,7.00-15,ACHIEVER PLUS,BLACK,STD,5.5,3 LAYER,57.6,0.0943,10,0.943,576
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,4,0.377,234.8
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,30,3.072,"1,779.00"
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,139161,3.00-15 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,108.7,0.1563,10,1.563,"1,087.00"
18.04.2024,USA- CENTRAL W H,81,USA- CENTRAL W H (R)- Container 01,894,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.246,4,0.984,671.2
