Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,100,3.03,"2,640.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,112161,21x8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,10,0.49,344.00
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,100,6.91,"4,570.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,16,3.264,"2,035.20"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,136012,28x12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,83.6,0.1354,10,1.354,836.00
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17.1,0.0263,40,1.052,684.00
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,50,1.285,790
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,50,1.515,"1,015.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,40,1.212,"1,028.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,30,1.524,"1,020.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,30,2.073,"1,338.00"
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,6,0.614,349.8
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,709071,16 1/4x6x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,19.3,0.0267,6,0.16,115.8
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,710071,16x5x10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,16.3,0.0216,6,0.13,97.8
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,714071,18x6x12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,22.8,0.0328,6,0.197,136.8
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,730071,16 1/4x7x11 1/4,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER ,20.8,0.0312,10,0.312,208
27.03.2024,AUS-TFY,63,AUS/TFY- CONTAINER 29,876,720073,21x8x15,RUNNERBAND,NM,SMOOTH,-,2 LAYER ,40.9,0.0594,30,1.782,"1,227.00"
