Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,103162,16 X 6 - 8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,20,0.51,332
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,104012,18 X 7 - 8,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,40,1.21,836
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,20,0.36,200
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,120162,23 X 9 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,8,0.54,374.4
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,127012,27 X 10 - 12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,6,0.64,440.4
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.6,0.039,8,0.31,212.8
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.1,0.0171,60,1.03,606.00
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,30,0.56,303
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.4,0.0263,20,0.53,328
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,102042,5.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,17.4,0.0259,8,0.21,139.2
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,60,1.9,"1,236.00"
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,14,0.55,319.20
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,26.9,0.039,8,0.31,215.2
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,112042,21 X 8 - 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.3,0.0494,6,0.3,199.8
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.2,0.0523,8,0.42,281.6
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,30,1.97,"1,341.00"
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,126042,23 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,16,1.22,753.6
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,125042,7.00 - 12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.5,0.0725,8,0.58,380
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.2,0.1051,10,1.05,692.00
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,60,1.03,618
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,40,0.74,416
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,103044,16 X 6 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,16.6,0.0263,26,0.68,431.6
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,104044,18 X 7 - 8,RUNNERSOLID,NM,CLIP,4.33,3 LAYER,20.7,0.0316,100,3.16,"2,070.00"
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,118044,200/50-10,RUNNERSOLID,NM,CLIP,6.5,3 LAYER,23.2,0.0394,20,0.79,464
04.04.2024,POL-4XT,69,POL-4XT - ORDER 02,882,112044,21 X 8 - 9,RUNNERSOLID,NM,CLIP,6,3 LAYER,33.8,0.0494,20,0.99,676.00
