Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,102031,5.00-8,TEAMSTAR,BLACK,STD,3.00D-8,3S-SP-01,15.4,0.0232,8,0.19,123.2
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,111031,6.00-9,TEAMSTAR,BLACK,STD,4.00E-09,3S-SP-01,26.1,0.0377,12,0.45,313.2
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,119031,6.50-10,TEAMSTAR,BLACK,STD,5.00F-10,3S-SP-01,33.9,0.0488,12,0.59,406.8
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,125031,7.00-12,TEAMSTAR,BLACK,STD,5.00S-12,3S-SP-01,46.1,0.0691,6,0.41,276.6
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,102032,5.00-8,TEAMSTAR,BLACK,CLIP,3.00D-8,3S-SP-01,15.7,0.0232,4,0.09,62.8
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,101032,15x4 1/2-8,TEAMSTAR,BLACK,CLIP,3.00D-8,3S-SP-01,9.2,0.0147,50,0.74,460
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,103032,16x6x8,TEAMSTAR,BLACK,CLIP,4.33D-8,3S-SP-01,15.9,0.0244,16,0.39,254.40
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,104032,18x7-8,TEAMSTAR,BLACK,CLIP,4.33R-8,3S-SP-01,20.8,0.0303,130,3.94,"2,704.00"
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,111032,6.00-9,TEAMSTAR,BLACK,CLIP,4.00E-09,3S-SP-01,26.4,0.0377,12,0.45,316.8
02.04.2024,GMN-TRU,72,GMN-TRU- ORDER 30,885,110032,140/55-9,TEAMSTAR,BLACK,CLIP,4.00E-09,3S-SP-01,10,0.0179,12,0.21,120
