Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
28.10.2023,KOREA,,KOR-NTC-17,730,100311,4.00-8,NEXEN ,BLACK,STD,3,APPROVED NEXEN COMPOUND,10.82,0.0169,300,5.07,3246
28.10.2023,KOREA,,KOR-NTC-17,730,102301,5.00-8,NEXEN ALLPRO,BLACK,STD,3,APPROVED NEXEN COMPOUND,16.03,0.0244,320,7.808,5129.6
28.10.2023,KOREA,,KOR-NTC-17,730,111301,6.00-9,NEXEN ALLPRO,BLACK,STD,4,APPROVED NEXEN COMPOUND,25.6,0.0379,100,3.79,2560
28.10.2023,KOREA,,KOR-NTC-17,730,112301,21x8-9,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,33.1,0.049,120,5.88,3972
28.10.2023,KOREA,,KOR-NTC-17,730,120301,23x9-10,NEXEN ALLPRO,BLACK,STD,6.5,APPROVED NEXEN COMPOUND,46.4,0.0682,50,3.41,2320
28.10.2023,KOREA,,KOR-NTC-17,730,126301,23x10-12,NEXEN ALLPRO,BLACK,STD,8,APPROVED NEXEN COMPOUND,49.9,0.0798,200,15.96,9980
28.10.2023,KOREA,,KOR-NTC-17,730,135301,8.15-15,NEXEN ALLPRO,BLACK,STD,7,APPROVED NEXEN COMPOUND,58.5,0.1011,500,50.55,29250
28.10.2023,KOREA,,KOR-NTC-17,730,141301,7.00-15,NEXEN ALLPRO,BLACK,STD,5.5,APPROVED NEXEN COMPOUND,56.35,0.0922,180,16.596,10143
28.10.2023,KOREA,,KOR-NTC-17,730,171301,7.50-16,NEXEN ALLPRO,BLACK,STD,6,APPROVED NEXEN COMPOUND,71.72,0.1162,130,15.106,9323.6
28.10.2023,KOREA,,KOR-NTC-17,730,102302,5.00-8,NEXEN ALLPRO,BLACK,CLIP,3,APPROVED NEXEN COMPOUND,16.14,0.0244,10,0.244,161.4
28.10.2023,KOREA,,KOR-NTC-17,730,112302,21x8-9,NEXEN ALLPRO,BLACK,CLIP,6,APPROVED NEXEN COMPOUND,33.4,0.049,30,1.47,1002
28.10.2023,KOREA,,KOR-NTC-17,730,111302,6.00-9,NEXEN ALLPRO,BLACK,CLIP,4,APPROVED NEXEN COMPOUND,25.99,0.0379,25,0.9475,649.75
28.10.2023,KOREA,,KOR-NTC-17,730,118302,200/50-10,NEXEN ALLPRO,BLACK,CLIP,6.5,APPROVED NEXEN COMPOUND,24.03,0.0404,30,1.212,720.9
28.10.2023,KOREA,,KOR-NTC-17,730,126302,23x10-12,NEXEN ALLPRO,BLACK,CLIP,8,APPROVED NEXEN COMPOUND,50.31,0.0798,10,0.798,503.1
28.10.2023,KOREA,,KOR-NTC-17,730,141302,7.00-15,NEXEN ALLPRO,BLACK,CLIP,5.5,APPROVED NEXEN COMPOUND,57,0.0943,20,1.886,1140
28.10.2023,KOREA,,KOR-NTC-17,730,135302,8.15-15,NEXEN ALLPRO,BLACK,CLIP,7,APPROVED NEXEN COMPOUND,59.3,0.1011,70,7.077,4151
