Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,104001,18X7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,20,0.606,416
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,119241,6.50 - 10 (Wide wall),ACHIEVER,BLACK,STD,5.00,2 LAYER,35.6,0.0508,30,1.524,1068
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,135001,28X9-15 (8.15-15),ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,20,2.048,1192
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,151001,9.00-20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,8,1.632,1024.8
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,12,3.6888,2488.8
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,12,0.2148,120
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,100002,400-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,11.1,0.0166,4,0.0664,44.4
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,103002,16X6-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,12,0.2928,192
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,104002,18X7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,20,0.606,418
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,118002,200/50 - 10,ACHIEVER,BLACK,CLIP,6.50,2 LAYER,23.9,0.0388,8,0.3104,191.2
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,112002,21X8- 9,ACHIEVER,BLACK,CLIP,6.00,2 LAYER,34.2,0.0478,8,0.3824,273.6
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,119242,6.50 - 10(Wide wall),ACHIEVER,BLACK,CLIP,5.00,2 LAYER,36.3,0.0508,30,1.524,1089
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,120242,23X9-10(Wide wall),ACHIEVER,BLACK,CLIP,6.50,2 LAYER,47,0.068,20,1.36,940
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,125002,7.00 - 12,ACHIEVER,BLACK,CLIP,5.00,2 LAYER,47.3,0.0691,20,1.382,946
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,135002,28X9-15 (8.15-15),ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,28,2.8672,1688.4
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,134002,2.50-15,ACHIEVER,BLACK,CLIP,7.5,2 LAYER,69.2,0.1103,4,0.4412,276.8
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,139242,3.00-15(Wide wall),ACHIEVER,BLACK,CLIP,8.00,2 LAYER,110.3,0.1701,20,3.402,2206
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,104041,18X7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER ,20.5,0.0316,20,0.632,410
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,119041,6.50 - 10,RUNNERSOLID,BLACK,STD,5,3 LAYER ,34.9,0.0523,20,1.046,698
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,135041,28X9-15 (8.15-15),RUNNERSOLID,BLACK,STD,7,3 LAYER ,57.8,0.1064,20,2.128,1156
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER ,10.3,0.0186,12,0.2232,123.6
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,100042,400-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER ,11,0.0172,4,0.0688,44
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,104042,18X7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER ,20.8,0.0316,20,0.632,416
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,118042,200/50 - 10,RUNNERSOLID,BLACK,CLIP,6.50,3 LAYER ,23.1,0.0394,8,0.3152,184.8
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,112042,21X8- 9,RUNNERSOLID,BLACK,CLIP,6.00,3 LAYER ,33.5,0.0494,8,0.3952,268
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5.00,3 LAYER ,35.3,0.0523,20,1.046,706
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,135042,28X9-15 (8.15-15),RUNNERSOLID,BLACK,CLIP,7,3 LAYER ,58.7,0.1041,20,2.082,1174
04.10.2023,AZE-LOK,219,AZE-LOK-ORDER 03,732,135044,28X9-15 (8.15-15),RUNNERSOLID,NM,CLIP,7,3 LAYER ,58.8,0.1041,4,0.4164,235.2
