Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,104041,180/70-8 ( 18 x 7 - 8 ),RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.5,0.0316,12,0.379,246
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,4,0.156,107.2
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,6,0.435,281.4
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,101042,125/75 - 8 (15 x 4 1/2 - 8) ,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,30,0.513,309
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,110042,140/55-9 ( 15 X 5 1/2 - 9 ),RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,18,0.335,185.4
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,103042,150/75-8 ( 16 X 6 - 8 ),RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,20,0.526,332
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,104042,180/70-8 ( 18 x 7 - 8 ),RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,80,2.528,"1,664.00"
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.788,462
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,112042,200/75-9 ( 21 X 8 - 9 ),RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,12,0.593,402
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,119042,6.50 - 10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,2,0.105,70.6
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,120042,225/75-10 (23 X 9 - 10 ),RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,12,0.788,536.4
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,126042,250/60-12 ( 23 X 10 - 12 ),RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,12,0.917,565.2
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,101044,125/75-8 ( 15 X 4 1/2 - 8),RUNNERSOLID,NM Lt.CREAM,CLIP,3,3 LAYER,10.3,0.0171,10,0.171,103
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,110044,140/55-9 ( 15 X 5 1/2 - 9 ),RUNNERSOLID,NM Lt.CREAM,CLIP,4,3 LAYER,10.4,0.0186,10,0.186,103.95
15.11.2023,ITALY,246,ITALY / GGS ORDER 02 ,761,103044,150/75-8 ( 16 X 6 - 8 ),RUNNERSOLID,NM Lt.CREAM,CLIP,4.33,3 LAYER,16.8,0.0263,12,0.316,201.6
