Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,103161,16x6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,16.3,0.0257,20,0.514,326
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,60,1.578,"1,044.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,50,1.515,"1,040.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,140,4.242,"3,696.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,119161,6.50-10(WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,100,5.08,"3,520.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,120,8.292,"5,484.00"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,133011,2.50-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,64.6,0.1049,16,1.678,"1,033.60"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,167.3,0.246,2,0.492,334.60
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,136012,28x12.5-15 ,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER ,84.2,0.1365,12,1.638,"1,010.40"
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,40,1.028,632
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,102163,5.00-8 (WIDE),ACHIEVER PLUS,NM,STD,3,3 LAYER ,17,0.0263,40,1.052,680
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,12,0.829,535.2
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,730071,16.25x7x11.25,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,12,0.374,267.6
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,12,0.782,514.8
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,721071,22x12x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,10,0.979,649
07.10.2023,AUS-TFY,231,AUS/TFY- CONTAINER 20,743,710073,16x5x10.5,RUNNERBAND,NM,SMOOTH,-,2 LAYER,16.3,0.0216,14,0.302,228.2
