Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,112001,21x8-9,ACHIEVER ,BLACK,STD,6,2 LAYER,34.1,0.0478,10,0.478,341
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,100001,4.00-8,ACHIEVER ,BLACK,STD,3,2 LAYER,10.9,0.0166,40,0.664,436.00
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,111001,6.00-9,ACHIEVER ,BLACK,STD,4,2 LAYER,26.6,0.0377,20,0.754,532
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,135001,28x9 -15 ,ACHIEVER ,BLACK,STD,7,2 LAYER,59.6,0.1024,16,1.638,953.60
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,110002,140/55-9,ACHIEVER ,BLACK,CLIP,4,2 LAYER,10,0.0179,20,0.358,200.00
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,112002,21x8-9 ,ACHIEVER ,BLACK,CLIP,6,2 LAYER,34.2,0.0478,10,0.478,342
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,118002,200/50-10,ACHIEVER ,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,20,0.776,478
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,126002,23x10-12,ACHIEVER ,BLACK,CLIP,8,2 LAYER,51.2,0.0774,20,1.548,"1,024.00"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,152491,10.00-20 (WIDE-CW) - ARD 3001,ACHIEVER ,BLACK,STD,7,2 LAYER,198,0.2622,8,2.098,"1,584.00"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,156221,12.00-20 (CW) - ARD 3002,ACHIEVER ,BLACK,STD,8.5,2 LAYER,255.4,0.3074,8,2.459,"2,043.20"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,100041,4.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,10.7,0.0172,40,0.688,428
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,103043,16x6-8 ,RUNNERSOLID,NM Lt. CREAM,STD,4.33,3 LAYER,16.5,0.0263,20,0.526,330
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,104043,18x7-8 ,RUNNERSOLID,NM Lt. CREAM,STD,4.33,3 LAYER,20.8,0.0316,20,0.632,416
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,112043,21x8-9 ,RUNNERSOLID,NM Lt. CREAM,STD,6,3 LAYER,33.6,0.0494,8,0.395,268.8
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,103044,16x6-8 ,RUNNERSOLID,NM Lt. CREAM,CLIP,4.33,3 LAYER,16.8,0.0263,20,0.526,336
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,104044,18x7-8 ,RUNNERSOLID,NM Lt. CREAM,CLIP,4.33,3 LAYER,21,0.0316,20,0.632,420
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,136052,28x12 1/2 -15 ,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,77.1,0.1365,10,1.365,771
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,140052,355/65/15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,10,2.021,"1,280.00"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,40,5.54,"3,568.00"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,139052,3.00-15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,40,6.844,"4,364.00"
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,729146,15x5  APW (DINGLI- ARD 3020),RUNNERLIFT,NMG,TRACTION,8,2 LAYER,21.6,0.0184,40,0.736,864
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,RMSS0001,10.00-20,-,BLACK,-,-,-,24,0.03,4,0.12,96
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,RMSS0002,12.00-20,-,BLACK,-,-,-,28.5,0.04,4,0.16,114
10.10.2023,RUS-TLL,232,RUSSIA OREDR - 13 (R2),744,138052,8.25-15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,1,0.139,89.2
