Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.10.2023,ISRL-KST,233,Order -  32,745,101161,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.8,0.0161,4,0.06,39.2
18.10.2023,ISRL-KST,233,Order -  32,745,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,4,0.1,65.2
18.10.2023,ISRL-KST,233,Order -  32,745,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,10,0.26,174
18.10.2023,ISRL-KST,233,Order -  32,745,111011,6.00-9 ,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,46,1.73,"1,196.00"
18.10.2023,ISRL-KST,233,Order -  32,745,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,6,0.23,158.4
18.10.2023,ISRL-KST,233,Order -  32,745,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,10,0.51,352
18.10.2023,ISRL-KST,233,Order -  32,745,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,40,2.76,"1,828.00"
18.10.2023,ISRL-KST,233,Order -  32,745,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,4,0.54,362.4
18.10.2023,ISRL-KST,233,Order -  32,745,151011,9.00-20,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,127.2,0.204,2,0.41,254.4
18.10.2023,ISRL-KST,233,Order -  32,745,154011,10.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.246,10,2.46,"1,574.00"
18.10.2023,ISRL-KST,233,Order -  32,745,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,5,1.54,"1,023.50"
18.10.2023,ISRL-KST,233,Order -  32,745,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,22,0.39,220
18.10.2023,ISRL-KST,233,Order -  32,745,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,20,0.77,536
18.10.2023,ISRL-KST,233,Order -  32,745,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,14,0.71,495.6
18.10.2023,ISRL-KST,233,Order -  32,745,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,28,1.93,"1,290.80"
18.10.2023,ISRL-KST,233,Order -  32,745,120162,23X9-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,20,1.36,936
18.10.2023,ISRL-KST,233,Order -  32,745,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,2,0.2,120.6
18.10.2023,ISRL-KST,233,Order -  32,745,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,16,1.68,"1,043.20"
18.10.2023,ISRL-KST,233,Order -  32,745,127012,27X10-12,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,73.4,0.1066,2,0.21,146.8
18.10.2023,ISRL-KST,233,Order -  32,745,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,40,5.43,"3,660.00"
18.10.2023,ISRL-KST,233,Order -  32,745,136012,28X12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,8,1.08,673.6
18.10.2023,ISRL-KST,233,Order -  32,745,139012,300-15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,4,0.63,414
18.10.2023,ISRL-KST,233,Order -  32,745,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,6,1.02,655.2
18.10.2023,ISRL-KST,233,Order -  32,745,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.8,0.1852,4,0.74,499.2
18.10.2023,ISRL-KST,233,Order -  32,745,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.18,98.5
18.10.2023,ISRL-KST,233,Order -  32,745,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,12,0.36,244.8
18.10.2023,ISRL-KST,233,Order -  32,745,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,6,0.31,211.8
18.10.2023,ISRL-KST,233,Order -  32,745,711072,16X6-10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,6,0.16,114.6
