Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
18.10.2023,ISRL-KST,234,Order- 33 (R),746,103161,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER,16.3,0.0257,4,0.1,65.2
18.10.2023,ISRL-KST,234,Order- 33 (R),746,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,17.4,0.0263,8,0.21,139.20
18.10.2023,ISRL-KST,234,Order- 33 (R),746,111011,6.00-9 ,ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26,0.0377,46,1.73,"1,196.00"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,6,0.23,158.40
18.10.2023,ISRL-KST,234,Order- 33 (R),746,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,12,0.61,422.40
18.10.2023,ISRL-KST,234,Order- 33 (R),746,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,40,2.76,"1,828.00"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER,58.7,0.0943,5,0.47,293.5
18.10.2023,ISRL-KST,234,Order- 33 (R),746,138161,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,90.6,0.1358,5,0.68,453
18.10.2023,ISRL-KST,234,Order- 33 (R),746,154011,10.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.246,10,2.46,"1,574.00"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,156011,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,6,1.84,"1,228.20"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,21,0.38,210
18.10.2023,ISRL-KST,234,Order- 33 (R),746,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,20,0.77,536
18.10.2023,ISRL-KST,234,Order- 33 (R),746,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,16,0.81,566.4
18.10.2023,ISRL-KST,234,Order- 33 (R),746,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,29,2,"1,336.90"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,120162,23X9-10(WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.068,20,1.36,936
18.10.2023,ISRL-KST,234,Order- 33 (R),746,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,4,0.41,241.2
18.10.2023,ISRL-KST,234,Order- 33 (R),746,133012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,65.2,0.1049,14,1.47,912.8
18.10.2023,ISRL-KST,234,Order- 33 (R),746,138162,8.25-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,40,5.43,"3,660.00"
18.10.2023,ISRL-KST,234,Order- 33 (R),746,136012,28X12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,8,1.08,673.6
18.10.2023,ISRL-KST,234,Order- 33 (R),746,139012,300-15,ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,103.5,0.1563,4,0.63,414
18.10.2023,ISRL-KST,234,Order- 33 (R),746,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,4,0.68,436.8
18.10.2023,ISRL-KST,234,Order- 33 (R),746,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.8,0.1852,6,1.11,748.8
18.10.2023,ISRL-KST,234,Order- 33 (R),746,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,10,0.18,98.5
18.10.2023,ISRL-KST,234,Order- 33 (R),746,104014,18X7-8,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,12,0.36,244.8
18.10.2023,ISRL-KST,234,Order- 33 (R),746,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,6,0.31,211.8
