Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,80,3.02,"2,128.00"
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,119241,6.50-10 (WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.6,0.0508,100,5.08,"3,560.00"
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,50,3.46,"2,340.00"
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,60,6.14,"3,576.00"
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,134001,2.50-15,ACHIEVER,BLACK,STD,7.5,2 LAYER,68.5,0.1103,10,1.1,685
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,139001,3.00-15,ACHIEVER,BLACK,STD,8,2 LAYER,102.7,0.1701,10,1.7,"1,027.00"
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,101002,15x4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0161,100,1.61,920
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,40,0.72,400
24.10.2023,EGYPT,235,MIS - ORDER 04 -C-06,747,103002,16X6-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,16,0.0244,40,0.98,640
24.10.2024,EGYPT,235,MIS - ORDER 04 -C-06,747,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,60,1.82,"1,254.00"
24.10.2025,EGYPT,235,MIS - ORDER 04 -C-06,747,118002,200/50-10,ACHIEVER,BLACK,CLIP,6.5,2 LAYER,23.9,0.0388,40,1.55,956
