Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,111001,6.00-9,ACHIEVER,BLACK,STD,4,2 LAYER,26.6,0.0377,100,3.77,"2,660.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,119241,6.50-10 (WIDE),ACHIEVER,BLACK,STD,5,2 LAYER,35.6,0.0508,100,5.08,"3,560.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,125001,7.00-12,ACHIEVER,BLACK,STD,5,2 LAYER,46.8,0.0691,50,3.46,"2,340.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,135001,"28X9-15, 8.15-15",ACHIEVER,BLACK,STD,7,2 LAYER,59.6,0.1024,60,6.14,"3,576.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,136001,355/45-15,ACHIEVER,BLACK,STD,9.75,2 LAYER,84.7,0.1354,10,1.35,847
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,10,3.07,"2,074.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,40,2.03,"1,408.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER,59.3,0.1024,20,2.05,"1,186.00"
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,163351,33X12X20 (CW),SKIDSOLID,BLACK,STD-RIGHT,7.5,2 LAYER,137.8,0.0312,6,0.19,826.8
24.10.2023,EGYPT,236,MIS - ORDER 04 -C-07,748,163351,33X12X20 (CW),SKIDSOLID,BLACK,STD-LEFT,7.5,2 LAYER,137.8,0.0979,6,0.59,826.8
