date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,111161,6.00 - 9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,48,1.8384,1267.2
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,119161,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,48,2.4384,"1,689.60"
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,125011,7.00 - 12 ,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,48,3.3168,"2,193.60"
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,154161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,8,3 LAYER,167.8,0.2622,10,2.622,1678
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,101012,15 x 4.5 - 8 ,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.2,0.0147,40,0.588,368
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,103162,16 x 6 - 8 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,20,0.514,332
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,104012,18 x 7 - 8 ,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,20.9,0.0303,48,1.4544,1003.2
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,119162,6.50 - 10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,48,2.4384,1699.2
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,120162,23 x 9 - 10  (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,46.8,0.0627,48,3.0096,2246.4
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,125012,7.00 - 12 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,48,3.3168,2212.8
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,138162,8.25 - 15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,10,1.358,915
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,104014,18 x 7 - 8 ,ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,20.4,0.0303,20,0.606,408
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,103164,16 x 6 - 8 (WIDE),ACHIEVER PLUS,NM,CLIP,4.33,3 LAYER,16.1,0.0257,20,0.514,322
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,110014,140/55 x 9 ,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,20,0.358,197
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,118014,200/50-10,ACHIEVER PLUS,NM,CLIP,6.5,3 LAYER,23.6,0.0388,20,0.776,472
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,110042,140/55 x 9 ,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,60,1.116,618
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,138052,8.25 - 15 ,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,10,1.385,892
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,737071,22 x 10 x 16 ,RUNNER BAND,BLACK,SMOOTH,-,2 LAYER,54.6,0.0815,10,0.815,546
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,730072,16 1/4 x 7x 11 1/4 ,RUNNER BAND,BLACK,TRACTION,-,2 LAYER,22,0.0312,40,1.248,880
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,715073,18 x 7 x 12 1/8 ,RUNNER BAND,NM,SMOOTH,-,2 LAYER,26.6,0.0382,10,0.382,266
25.10.2023,UNITED KINGDOM,237,UK/RTL- ORDER 38,749,730074,16 1/4 x 7x 11 1/4 ,RUNNER BAND,NM,TRACTION,-,2 LAYER,22.2,0.0312,10,0.312,222
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,s,,,
