Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,10,0.52,349
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,125041,7.00 - 12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,40,2.9,"1,876.00"
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,126042,23 X 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,20,1.53,942
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,127042,27 X 10 - 12 ,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,10,1.05,696
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,135051,28 X 9 - 15 ,ROCKSOLID,BLACK,STD,7,3 LAYER,59.7,0.1064,10,1.06,597.00
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,133051,250 - 15,ROCKSOLID,BLACK,STD,7,3 LAYER,66.6,0.1149,14,1.61,932.40
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,138051,8.25 - 15,ROCKSOLID,BLACK,STD,6.5,3 LAYER,88.7,0.1385,24,3.32,"2,128.80"
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,133052,250 - 15,ROCKSOLID,BLACK,CLIP,7,3 LAYER,67.1,0.1149,26,2.99,"1,744.60"
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,138052,8.25 - 15,ROCKSOLID,BLACK,CLIP,6.5,3 LAYER,89.2,0.1385,20,2.77,"1,784.00"
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,139052,3.00 - 15,ROCKSOLID,BLACK,CLIP,8,3 LAYER,109.1,0.1711,7,1.2,763.7
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,140052,355/65-15,ROCKSOLID,BLACK,CLIP,9.75,3 LAYER,128,0.2021,5,1.01,640
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,704071,14 x 4 1/2 x 8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,12,0.0149,10,0.15,120
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,710071,16 x 5 x 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,16.3,0.0216,10,0.22,163
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,711071,16 X 6 X 10 1/2,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,19.6,0.0259,30,0.78,588
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,714071,18 X 6 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.8,0.0328,10,0.33,228
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,716071,18 X 8 X 12 1/8,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,30.9,0.0437,10,0.44,309
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,719071,21 X 7 X 15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,35.4,0.052,10,0.52,354
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,720071,21 X 8 X 15,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,40.8,0.0594,10,0.59,408
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,722071,22 X 8 X 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,8,0.52,343.20
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,723071,22 X 9 X 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,48.6,0.0734,6,0.44,291.6
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,721071,22 X 12 X 16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,64.9,0.0979,10,0.98,649
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,711072,16 X 6 X 10 1/2,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,19.1,0.0259,50,1.3,955
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,716072,18 X 8 X 12 1/8,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,30.1,0.0437,4,0.17,120.4
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,719072,21 X 7 X 15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,34.7,0.052,20,1.04,694
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,720072,21 X 8 X 15,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,40,0.0594,30,1.78,"1,200.00"
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,723072,22 X 9 X 16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,47.5,0.0734,4,0.29,190
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,721072,22 X 12 X 16,RUNNERBAND,BLACK,TRACTION,-,2 LAYER,63.3,0.0979,2,0.2,126.6
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,710073,16 x 5 x 10 1/2,RUNNERBAND,NON-MARKER,SMOOTH,-,2 LAYER,16.3,0.0216,11,0.24,179.3
30.10.2023,USA-OSF,239,USA OSF-08 (R),752,719073,21 X 7 X 15,RUNNERBAND,NON-MARKER,SMOOTH,-,2 LAYER,35.6,0.052,20,1.04,712
