Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,101042,15 X 4 1/2 - 8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,10,0.17,103
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,110042,140/55-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,10.3,0.0186,4,0.07,41.2
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,100042,4.00-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,11,0.0172,10,0.17,110
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,103042,16 X 6 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,10,0.26,166
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,104042,18 X 7 - 8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,80,2.53,"1,664.00"
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,20,0.79,462
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,112042,21 X 8 - 9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,4,0.2,134
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,120042,23 X 9 - 10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,30,1.97,"1,341.00"
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,126042,23 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,47.1,0.0764,6,0.46,282.6
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,127042,27 X 10 - 12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,30,3.15,"2,088.00"
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,101043,15 X 4 1/2 - 8,RUNNERSOLID,NM,STD,3,3 LAYER,10.2,0.0171,4,0.07,40.79
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,101044,15 X 4 1/2 - 8,RUNNERSOLID,NM,CLIP,3,3 LAYER,10.3,0.0171,80,1.37,824
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,110044,140/55-9,RUNNERSOLID,NM,CLIP,4,3 LAYER,10.4,0.0186,10,0.19,103.95
27.10.2023,POL-WSZ,240,POL-WSZ- ORDER 01,753,100044,4.00-8,RUNNERSOLID,NM,CLIP,3,3 LAYER,11.1,0.0172,10,0.17,111
