Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,50,1.515,"1,040.00"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0383,120,4.596,"3,168.00"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,134011,2.50-15,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,66.6,0.1049,6,0.629,399.6
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,24,2.458,"1,423.20"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,151011,9.00-20 ,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,127.2,0.204,12,2.448,"1,526.40"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,153161,10.00-20 (WIDE),ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER ,167.3,0.246,30,7.38,"5,019.00"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,156011,12.00-20 ,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER ,204.7,0.3074,12,3.689,"2,456.40"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,72,1.85,"1,137.60"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,72,2.182,"1,461.60"
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0383,20,0.766,514
06.11.2023,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,135013,28x9-15,ACHIEVER PLUS,NM,STD,7,3 LAYER ,58.3,0.1024,12,1.229,699.6
06.11.2024,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,730071,16.25x7x11.25,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,22.3,0.0312,6,0.187,133.8
06.11.2025,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,722071,22x8x16,RUNNERBAND,BLACK,SMOOTH,-,2 LAYER,42.9,0.0652,12,0.782,514.8
06.11.2027,AUS-TFY,242,AUS/TFY- CONTAINER 21 ,756,737073,22x10x16,RUNNERBAND,N/M,SMOOTH,-,2 LAYER,55.1,0.0979,3,0.294,165.3
