date,Customer,wono,ref,erp,icode,t_size,brand,col,fit,rim,cons,fweight,ptv,new,cbm,kgs
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,156001,12.00-20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,4,1.23,829.6
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,102041,5.00-8,RUNNERSOLID,BLACK,STD,3,3 LAYER,17.1,0.0259,60,1.55,"1,026.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,111041,6.00-9,RUNNERSOLID,BLACK,STD,4,3 LAYER,26.8,0.039,30,1.17,804.00
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,119041,6.50-10,RUNNERSOLID,BLACK,STD,5,3 LAYER,34.9,0.0523,30,1.57,"1,047.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,125041,7.00-12,RUNNERSOLID,BLACK,STD,5,3 LAYER,46.9,0.0725,30,2.18,"1,407.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,135041,8.15-15 (225/75-15),RUNNERSOLID,BLACK,STD,7,3 LAYER,57.8,0.1041,10,1.04,578
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,101042,15x4 1/2-8,RUNNERSOLID,BLACK,CLIP,3,3 LAYER,10.3,0.0171,20,0.34,206
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,103042,16x6-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,16.6,0.0263,20,0.53,332
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,104042,18x7-8,RUNNERSOLID,BLACK,CLIP,4.33,3 LAYER,20.8,0.0316,30,0.95,624.00
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,112042,21x8-9,RUNNERSOLID,BLACK,CLIP,6,3 LAYER,33.5,0.0494,16,0.79,536
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,111042,6.00-9,RUNNERSOLID,BLACK,CLIP,4,3 LAYER,27.1,0.039,20,0.78,542.00
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,119042,6.50-10,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,35.3,0.0523,40,2.09,"1,412.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,118042,200/50-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,23.1,0.0394,30,1.18,693.00
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,120042,23x9-10 (225/75-10),RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,30,1.97,"1,341.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,125042,7.00-12,RUNNERSOLID,BLACK,CLIP,5,3 LAYER,47.8,0.0725,20,1.45,956
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,127042,27x10-12,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,69.6,0.1051,16,1.68,"1,113.60"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,133042,2.50-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,65.9,0.1127,40,4.51,"2,636.00"
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,138042,8.25-15,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,85.5,0.1362,8,1.09,684
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,139042,3.00-15,RUNNERSOLID,BLACK,CLIP,8,3 LAYER,106.9,0.1682,6,1.01,641.4
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,165321,31x10-16(With Aperture),SKIDSOLID,BLACK,STD,6,2 LAYER,75.4,0.1446,4,0.58,301.6
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,165357,31x10-16(With Aperture) CW,SKIDSOLID,BLACK,CLIP-LEFT,6,2 LAYER,115.4,0.1446,2,0.29,230.8
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,165358,31x10-16(With Aperture) CW,SKIDSOLID,BLACK,CLIP-RIGHT,6,2 LAYER,115.4,0.1446,2,0.29,230.8
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,166327,31x10-20(With Aperture),SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,62.7,0.1446,2,0.29,125.4
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,166328,31x10-20(With Aperture),SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,62.7,0.1446,2,0.29,125.4
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,166367,31x10-20(W/O Aperture) CW,SKIDSOLID,BLACK,CLIP-LEFT,7.5,2 LAYER,112.6,0.1446,2,0.29,225.2
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,166368,31x10-20(W/O Aperture) CW,SKIDSOLID,BLACK,CLIP-RIGHT,7.5,2 LAYER,112.6,0.1446,2,0.29,225.2
10.11.2023,ROMANIA - SCR,250, SCR ORDER 04,765,726071,40x16x30,RUNNERBAND,BLCK,SMOOTH,-,2 LAYER,227.5,0.4195,2,0.84,455
