Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,101161,15X4 1/2-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER,9.8,0.0161,4,0.06,39.2
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER,26.4,0.0383,30,1.15,792
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,70,4.84,"3,199.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,110012,140/55-9,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,10,0.0179,50,0.9,500
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,103162,16X6-8  (WIDE),ACHIEVER PLUS,BLACK,CLIP,,3 LAYER,16.6,0.0257,60,1.54,996
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,111162,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,40,1.53,"1,072.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,119162,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,35.4,0.0508,40,2.03,"1,416.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,125012,7.00-12,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,20,1.38,922
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,135012,8.15-15,ACHIEVER PLUS,BLACK,CLIP,7,3 LAYER,60.3,0.1024,20,2.05,"1,206.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,134012,2.50-15,ACHIEVER PLUS,BLACK,CLIP,7.5,3 LAYER,67.5,0.1049,20,2.1,"1,350.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,138012,8.25-15,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,81.3,0.1358,40,5.43,"3,252.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,136012,28X12 1/2-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,84.2,0.1354,10,1.35,842
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,139162,300-15 (WIDE),ACHIEVER PLUS,BLACK,CLIP,8,3 LAYER,109.2,0.1701,40,6.8,"4,368.00"
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,140012,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.8,0.1852,6,1.11,748.8
13.11.2023,ISRL-KST,252,ISRL-KST- ORDER 34,767,110014,140/55-9,ACHIEVER PLUS,NM,CLIP,4,3 LAYER,9.85,0.0179,8,0.14,78.8
